chr	start	end	coverage	methylation_level
chr1	100000	100001	34	0.664
chr1	100498	100499	23	0.3385
chr1	100915	100916	21	0.6791
chr1	101005	101006	35	0.5866
chr1	109610	109611	26	0.4719
chr1	109679	109680	20	0.4837
chr1	109784	109785	31	0.3357
chr1	110139	110140	33	0.4117
chr1	111833	111834	27	0.4802
chr1	111862	111863	30	0.4475
chr1	111864	111865	26	0.7166
chr1	111899	111900	32	0.5213
chr1	114313	114314	28	0.346
chr1	114740	114741	32	0.313
chr1	115208	115209	36	0.1401
chr1	121699	121700	34	0.4512
chr1	121774	121775	23	0.3007
chr1	121957	121958	30	0.0981
chr1	122201	122202	34	0.5592
chr1	125700	125701	31	0.6178
chr1	125703	125704	24	0.6216
chr1	125744	125745	34	0.6079
chr1	125755	125756	27	0.5164
chr1	127337	127338	47	0.1278
chr1	127352	127353	31	0.2963
chr1	127383	127384	34	0.132
chr1	127429	127430	38	0.3111
chr1	129602	129603	29	0.1527
chr1	130034	130035	34	0.2995
chr1	130451	130452	29	0.2355
chr1	131228	131229	33	0.5457
chr1	131653	131654	27	0.5726
chr1	131970	131971	28	0.3882
chr1	132158	132159	28	0.3828
chr1	134051	134052	26	0.2172
chr1	134348	134349	27	0.4441
chr1	134636	134637	33	0.3021
chr1	134909	134910	24	0.2916
chr1	136165	136166	34	0.3746
chr1	136259	136260	26	0.1942
chr1	136451	136452	36	0.2271
chr1	136731	136732	31	0.2373
chr1	136843	136844	29	0.2429
chr1	136989	136990	35	0.3238
chr1	138761	138762	38	0.2608
chr1	139064	139065	33	0.2708
chr1	139549	139550	38	0.2331
chr1	139682	139683	27	0.3664
chr1	141334	141335	34	1.0
chr1	141558	141559	23	1.0
chr1	141751	141752	27	0.0
chr1	142106	142107	31	1.0
chr1	142335	142336	24	1.0
chr1	142389	142390	31	1.0
chr1	143951	143952	34	0.6755
chr1	143985	143986	28	0.6664
chr1	143994	143995	33	0.5553
chr1	160635	160636	24	1.0
chr1	160692	160693	29	1.0
chr1	160877	160878	32	1.0
chr1	161201	161202	30	1.0
chr1	161282	161283	21	1.0
chr1	161390	161391	31	1.0
chr1	163124	163125	28	0.3297
chr1	163364	163365	32	0.3838
chr1	163469	163470	34	0.4545
chr1	163864	163865	34	0.6585
chr1	169714	169715	20	0.4823
chr1	169877	169878	30	0.5135
chr1	170241	170242	30	0.6248
chr1	170313	170314	26	0.5881
chr1	170735	170736	34	0.7191
chr1	177572	177573	26	0.3051
chr1	177575	177576	28	0.4615
chr1	177606	177607	27	0.3417
chr1	177612	177613	31	0.2111
chr1	180237	180238	35	0.7051
chr1	180614	180615	29	0.4246
chr1	180877	180878	26	0.364
chr1	181075	181076	29	0.5522
chr1	182108	182109	24	0.1501
chr1	182245	182246	23	0.2668
chr1	182705	182706	30	0.1975
chr1	183071	183072	37	0.4774
chr1	189232	189233	22	1.0
chr1	189507	189508	24	0.0
chr1	189793	189794	34	0.0
chr1	189987	189988	33	1.0
chr1	190136	190137	33	0.0
chr1	190990	190991	32	0.2562
chr1	191110	191111	32	0.2912
chr1	191606	191607	33	0.3314
chr1	191784	191785	24	0.5204
chr1	192626	192627	24	0.3137
chr1	192821	192822	29	0.6175
chr1	192913	192914	31	0.7088
chr1	193353	193354	35	0.5445
