chr	start	end	coverage	methylation_level	type
chr1	112928	112929	28	0.1836	good-DMR
chr1	112978	112979	30	0.111	good-DMR
chr1	113006	113007	33	0.2309	good-DMR
chr1	113021	113022	28	0.3056	good-DMR
chr1	113045	113046	27	0.5219	good-DMR
chr1	113081	113082	29	0.5508	good-DMR
chr1	113104	113105	32	0.2699	good-DMR
chr1	113134	113135	38	0.3701	good-DMR
chr1	113177	113178	41	0.3747	good-DMR
chr1	113204	113205	26	0.3411	good-DMR
chr1	113223	113224	34	0.2964	good-DMR
chr1	113249	113250	35	0.2247	good-DMR
chr1	113299	113300	32	0.2052	good-DMR
chr1	113349	113350	26	0.3091	good-DMR
chr1	113364	113365	28	0.3945	good-DMR
chr1	113414	113415	29	0.2697	good-DMR
chr1	113448	113449	24	0.2998	good-DMR
chr1	113461	113462	26	0.3963	good-DMR
chr1	113533	113534	25	0.2042	good-DMR
chr1	113583	113584	20	0.2025	good-DMR
chr1	113683	113684	36	0.2558	good-DMR
chr1	113740	113741	32	0.3498	good-DMR
chr1	113790	113791	30	0.3193	good-DMR
chr1	113840	113841	35	0.2853	good-DMR
chr1	113940	113941	36	0.328	good-DMR
chr1	113960	113961	26	0.1211	flank-DMR
chr1	114012	114013	26	0.0879	flank-DMR
chr1	114032	114033	27	0.0591	flank-DMR
chr1	114086	114087	31	0.0441	flank-DMR
chr1	114096	114097	31	0.3135	flank-DMR
chr1	114116	114117	34	0.1624	flank-DMR
chr1	114216	114217	22	0.148	flank-DMR
chr1	114298	114299	33	0.0914	flank-DMR
chr1	114404	114405	40	0.0687	flank-DMR
