chr	start	end	coverage	methylation_level
chr1	216962	216963	27	0.9404
chr1	216998	216999	29	0.8397
chr1	217018	217019	24	0.871
chr1	217039	217040	25	0.7321
chr1	217098	217099	36	0.9989
chr1	217145	217146	25	0.8896
chr1	217233	217234	30	0.7353
chr1	217271	217272	17	0.7282
chr1	217321	217322	21	0.7259
chr1	217330	217331	26	0.988
chr1	217344	217345	35	0.8547
chr1	217354	217355	36	0.9148
chr1	217371	217372	25	0.7708
chr1	217404	217405	27	0.926
chr1	217407	217408	38	0.9824
chr1	217432	217433	19	0.9014
chr1	217469	217470	29	0.78
chr1	217507	217508	32	0.705
chr1	217532	217533	34	0.9419
chr1	217563	217564	35	0.9946
chr1	217600	217601	37	0.9185
chr1	217610	217611	38	0.8913
chr1	217651	217652	29	0.8763
chr1	217658	217659	26	0.7843
chr1	217664	217665	28	0.8288
chr1	217685	217686	36	0.7735
chr1	217712	217713	28	0.8714
chr1	217759	217760	28	0.932
chr1	217807	217808	27	0.8406
chr1	217839	217840	32	0.8729
chr1	217874	217875	23	0.8728
chr1	217930	217931	31	0.7161
chr1	217968	217969	25	0.8782
chr1	217974	217975	23	0.8958
chr1	218006	218007	21	0.7138
chr1	218018	218019	30	0.7223
chr1	218020	218021	29	0.9191
