chr	start	end	coverage	methylation_level	type
chr1	163964	163965	28	0.9031	good-DMR
chr1	163980	163981	32	0.7948	good-DMR
chr1	164008	164009	29	0.9496	good-DMR
chr1	164040	164041	32	0.6682	good-DMR
chr1	164073	164074	30	0.8448	good-DMR
chr1	164119	164120	36	0.8297	good-DMR
chr1	164169	164170	40	0.8925	good-DMR
chr1	164202	164203	26	0.7885	good-DMR
chr1	164232	164233	36	0.7577	good-DMR
chr1	164247	164248	20	0.8056	good-DMR
chr1	164271	164272	32	0.8893	good-DMR
chr1	164321	164322	23	0.7597	good-DMR
chr1	164340	164341	38	0.8658	good-DMR
chr1	164390	164391	29	0.9885	good-DMR
chr1	164406	164407	25	0.8423	good-DMR
chr1	164445	164446	28	0.8273	good-DMR
chr1	164479	164480	26	0.7314	good-DMR
chr1	164499	164500	20	0.8243	good-DMR
chr1	164514	164515	34	0.7221	good-DMR
chr1	164541	164542	37	0.6815	good-DMR
chr1	164637	164638	30	0.8404	good-DMR
chr1	164737	164738	32	0.7889	good-DMR
chr1	164837	164838	28	0.9257	good-DMR
chr1	164888	164889	24	0.9322	good-DMR
chr1	164938	164939	26	0.839	good-DMR
chr1	165038	165039	24	0.7057	good-DMR
chr1	165058	165059	25	0.9256	flank-DMR
chr1	165094	165095	38	0.6509	flank-DMR
chr1	165156	165157	33	0.9159	flank-DMR
chr1	165172	165173	28	0.8245	flank-DMR
chr1	165288	165289	25	0.9318	flank-DMR
chr1	165332	165333	26	0.8912	flank-DMR
chr1	165490	165491	21	0.7442	flank-DMR
chr1	165504	165505	35	0.7347	flank-DMR
chr1	165536	165537	27	0.7484	flank-DMR
