chr	start	end	coverage	methylation_level	type
chr1	131334	131335	21	0.301	notable-DMR
chr1	131384	131385	27	0.2173	notable-DMR
chr1	131412	131413	27	1.0	notable-DMR
chr1	131428	131429	26	0.4358	notable-DMR
chr1	131473	131474	29	0.3682	notable-DMR
chr1	131488	131489	32	0.8469	notable-DMR
chr1	131505	131506	39	0.5309	notable-DMR
chr1	131535	131536	39	1.0	notable-DMR
chr1	131565	131566	32	0.312	notable-DMR
chr1	131598	131599	19	0.296	notable-DMR
chr1	131648	131649	31	1.0	notable-DMR
chr1	131679	131680	32	0.5947	notable-DMR
chr1	131701	131702	34	0.972	notable-DMR
chr1	131723	131724	28	0.9476	notable-DMR
chr1	131747	131748	31	1.0	notable-DMR
chr1	131763	131764	31	0.9386	notable-DMR
chr1	131803	131804	26	0.8983	notable-DMR
chr1	131805	131806	28	0.167	notable-DMR
chr1	131905	131906	31	0.367	notable-DMR
chr1	132005	132006	29	0.597	notable-DMR
chr1	132105	132106	27	1.0	notable-DMR
chr1	132155	132156	38	0.6058	notable-DMR
chr1	132239	132240	34	0.331	notable-DMR
chr1	132277	132278	24	0.7176	flank-DMR
chr1	132331	132332	24	0.8899	flank-DMR
