chr	start	end	coverage	methylation_level	type
chr1	129187	129188	31	0.6658	inconsistent-DMR
chr1	129205	129206	34	0.7266	inconsistent-DMR
chr1	129254	129255	30	0.4086	inconsistent-DMR
chr1	129271	129272	33	0.4656	inconsistent-DMR
chr1	129305	129306	39	0.5728	inconsistent-DMR
chr1	129325	129326	35	0.6212	inconsistent-DMR
chr1	129351	129352	24	0.6801	inconsistent-DMR
chr1	129366	129367	24	0.6792	inconsistent-DMR
chr1	129394	129395	34	0.469	inconsistent-DMR
chr1	129436	129437	35	0.4136	inconsistent-DMR
chr1	129486	129487	29	0.3716	inconsistent-DMR
chr1	129515	129516	31	0.7302	inconsistent-DMR
chr1	129531	129532	28	0.643	inconsistent-DMR
chr1	129576	129577	33	0.7174	inconsistent-DMR
chr1	129612	129613	24	0.6298	inconsistent-DMR
chr1	129640	129641	32	0.5182	inconsistent-DMR
chr1	129663	129664	31	0.6551	inconsistent-DMR
chr1	129671	129672	25	0.8179	inconsistent-DMR
chr1	129771	129772	33	0.7067	inconsistent-DMR
chr1	129871	129872	25	0.523	inconsistent-DMR
chr1	129931	129932	33	0.4825	inconsistent-DMR
chr1	129998	129999	18	0.3992	inconsistent-DMR
chr1	130085	130086	43	0.6158	inconsistent-DMR
chr1	130135	130136	35	0.3318	inconsistent-DMR
chr1	130233	130234	30	0.8746	flank-DMR
