assembly	position	strand	class	mc	h
1	100005	+	CG	17	28
1	100046	+	CG	16	34
1	100096	+	CG	17	25
1	100123	+	CG	18	30
1	100150	+	CG	15	25
1	100200	+	CG	21	32
1	100244	+	CG	21	34
1	100268	+	CG	18	27
1	100307	+	CG	12	24
1	100331	+	CG	25	37
1	100355	+	CG	18	28
1	100389	+	CG	17	36
1	100404	+	CG	16	27
1	100419	+	CG	22	34
1	100442	+	CG	24	36
1	100460	+	CG	13	21
1	100495	+	CG	14	24
1	100514	+	CG	15	30
1	100529	+	CG	11	25
1	100629	+	CG	25	30
1	100716	+	CG	16	28
1	100816	+	CG	28	38
1	100866	+	CG	18	31
1	100938	+	CG	15	31
1	101038	+	CG	18	23
1	101074	+	CG	29	30
1	101182	+	CG	28	29
1	101194	+	CG	40	42
1	101250	+	CG	21	27
1	101344	+	CG	32	35
1	101380	+	CG	23	34
1	101386	+	CG	6	20
1	101425	+	CG	9	36
1	101464	+	CG	17	38
1	101481	+	CG	9	26
1	101529	+	CG	16	32
1	101544	+	CG	14	32
1	101594	+	CG	9	30
1	101610	+	CG	7	29
1	101637	+	CG	10	26
1	101687	+	CG	13	35
1	101719	+	CG	7	24
1	101764	+	CG	11	36
1	101805	+	CG	15	41
1	101808	+	CG	13	30
1	101908	+	CG	9	30
1	101984	+	CG	15	33
1	102084	+	CG	6	26
1	102134	+	CG	6	20
1	102188	+	CG	2	24
1	102314	+	CG	6	31
1	102356	+	CG	5	29
1	102456	+	CG	3	30
1	102472	+	CG	5	34
1	102478	+	CG	1	31
1	102498	+	CG	9	26
1	102504	+	CG	3	29
1	102620	+	CG	3	32
1	102636	+	CG	12	37
1	102684	+	CG	7	36
1	102715	+	CG	6	29
1	102749	+	CG	6	26
1	102799	+	CG	6	23
1	102838	+	CG	3	25
1	102877	+	CG	5	33
1	102927	+	CG	8	32
1	102952	+	CG	10	34
1	102972	+	CG	12	30
1	102990	+	CG	4	31
1	103005	+	CG	7	37
1	103055	+	CG	7	40
1	103072	+	CG	10	30
1	103099	+	CG	10	33
1	103103	+	CG	12	37
1	103203	+	CG	10	31
1	103303	+	CG	6	33
1	103403	+	CG	14	33
1	103473	+	CG	5	26
1	103563	+	CG	11	37
1	103597	+	CG	4	31
1	103612	+	CG	20	27
1	103638	+	CG	14	20
1	103653	+	CG	25	34
1	103690	+	CG	20	35
1	103723	+	CG	29	32
1	103757	+	CG	23	32
1	103804	+	CG	24	30
1	103854	+	CG	27	36
1	103879	+	CG	19	32
1	103917	+	CG	17	24
1	103952	+	CG	20	28
1	103988	+	CG	17	29
1	104025	+	CG	28	34
1	104075	+	CG	23	33
1	104151	+	CG	17	22
1	104201	+	CG	34	40
1	104267	+	CG	22	29
1	104367	+	CG	25	31
1	104467	+	CG	16	24
1	104541	+	CG	29	35
1	104563	+	CG	27	37
1	104607	+	CG	7	15
1	104629	+	CG	19	35
1	104659	+	CG	26	37
1	104688	+	CG	18	30
1	104703	+	CG	15	30
1	104722	+	CG	25	32
1	104745	+	CG	15	28
1	104760	+	CG	10	22
1	104791	+	CG	26	40
1	104817	+	CG	20	29
1	104832	+	CG	14	22
1	104869	+	CG	14	26
1	104912	+	CG	19	34
1	104946	+	CG	15	32
1	104972	+	CG	18	31
1	105012	+	CG	16	33
1	105054	+	CG	16	24
1	105089	+	CG	17	20
1	105109	+	CG	17	33
1	105143	+	CG	12	21
1	105158	+	CG	19	30
1	105228	+	CG	13	21
1	105328	+	CG	15	28
1	105401	+	CG	21	36
1	105501	+	CG	13	25
1	105568	+	CG	16	22
1	105668	+	CG	9	23
1	105676	+	CG	18	28
1	105762	+	CG	30	43
1	105768	+	CG	13	29
1	105810	+	CG	15	30
1	105839	+	CG	12	25
1	105883	+	CG	7	28
1	105924	+	CG	10	26
1	105951	+	CG	17	27
1	105966	+	CG	7	28
1	105989	+	CG	14	28
1	106039	+	CG	12	29
1	106075	+	CG	10	28
1	106097	+	CG	10	30
1	106131	+	CG	9	22
1	106173	+	CG	5	11
1	106195	+	CG	16	29
1	106235	+	CG	10	25
1	106335	+	CG	16	37
1	106387	+	CG	11	25
1	106487	+	CG	12	23
1	106565	+	CG	24	35
1	106655	+	CG	12	22
1	106679	+	CG	20	30
1	106735	+	CG	17	27
1	106787	+	CG	21	33
1	106915	+	CG	20	26
1	106975	+	CG	11	20
1	106977	+	CG	25	36
1	106987	+	CG	17	26
1	107013	+	CG	22	33
1	107061	+	CG	14	24
1	107149	+	CG	21	33
1	107168	+	CG	25	33
1	107190	+	CG	20	27
1	107231	+	CG	22	31
1	107281	+	CG	21	28
1	107301	+	CG	25	34
1	107335	+	CG	16	22
1	107385	+	CG	27	35
1	107400	+	CG	23	31
1	107445	+	CG	25	32
1	107462	+	CG	18	24
1	107495	+	CG	25	34
1	107545	+	CG	18	26
1	107560	+	CG	20	26
1	107604	+	CG	17	29
1	107654	+	CG	23	30
1	107677	+	CG	25	31
1	107717	+	CG	31	40
1	107767	+	CG	20	30
1	107773	+	CG	30	38
1	107873	+	CG	20	23
1	107973	+	CG	24	36
1	108073	+	CG	21	27
1	108173	+	CG	16	25
1	108228	+	CG	23	33
1	108328	+	CG	21	29
1	108408	+	CG	29	37
1	108416	+	CG	21	31
1	108431	+	CG	22	30
1	108468	+	CG	27	39
1	108500	+	CG	20	31
1	108534	+	CG	21	30
1	108584	+	CG	22	29
1	108622	+	CG	15	23
1	108672	+	CG	15	22
1	108696	+	CG	15	28
1	108711	+	CG	34	39
1	108732	+	CG	11	17
1	108755	+	CG	20	28
1	108805	+	CG	25	31
1	108848	+	CG	21	35
1	108870	+	CG	19	28
1	108915	+	CG	19	25
1	108943	+	CG	24	29
1	108993	+	CG	19	26
1	108995	+	CG	23	31
1	109045	+	CG	17	27
1	109134	+	CG	25	32
1	109216	+	CG	24	32
1	109266	+	CG	17	21
1	109366	+	CG	21	28
1	109466	+	CG	24	33
1	109517	+	CG	24	32
1	109599	+	CG	20	26
1	109601	+	CG	22	31
1	109613	+	CG	31	35
1	109636	+	CG	15	22
1	109668	+	CG	21	26
1	109697	+	CG	20	24
1	109747	+	CG	22	29
1	109773	+	CG	20	24
1	109805	+	CG	21	28
1	109820	+	CG	33	38
1	109855	+	CG	26	30
1	109875	+	CG	24	31
1	109890	+	CG	24	32
1	109940	+	CG	32	37
1	109969	+	CG	42	44
1	109984	+	CG	19	26
1	110004	+	CG	30	33
1	110034	+	CG	28	32
1	110065	+	CG	24	29
1	110088	+	CG	25	28
1	110103	+	CG	27	31
1	110126	+	CG	26	33
1	110127	+	CG	25	31
1	110227	+	CG	23	38
1	110296	+	CG	28	37
1	110396	+	CG	30	32
1	110446	+	CG	24	32
1	110508	+	CG	23	31
1	110608	+	CG	24	29
1	110666	+	CG	21	29
1	110716	+	CG	25	31
1	110741	+	CG	26	36
1	110768	+	CG	26	28
1	110788	+	CG	26	32
1	110810	+	CG	20	31
1	110860	+	CG	23	30
1	110908	+	CG	28	36
1	110923	+	CG	23	36
1	110973	+	CG	14	18
1	111023	+	CG	27	35
1	111049	+	CG	17	26
1	111084	+	CG	23	31
1	111114	+	CG	18	25
1	111164	+	CG	20	26
1	111184	+	CG	24	38
1	111216	+	CG	23	29
1	111240	+	CG	23	32
