chromosome	start	end	count	lethal_mean	normal_mean	delta	F	pvalue	p_adj	DMR
chr22	19509318	19510212	11	0.8814	0.7152	0.1663	15.8005	0.00032	0.0006735	True
chr22	41050764	41051038	5	0.2503	0.0541	0.1961	20.1057	0.002402	0.003198	True
chr22	41052059	41052931	8	0.8436	0.9821	-0.1385	46.7714	1.342e-05	6.231e-05	True
chr22	41054888	41055735	12	0.8688	0.9781	-0.1092	16.5136	8.776e-06	4.5e-05	True
chr22	19511877	19512942	59	0.6631	0.0881	0.575	15.1298	1.129e-29	2.4e-27	True
chr22	41057167	41057708	5	0.906	0.982	-0.076	40.4271	0.008064	0.008938	True
chr22	41088106	41088205	6	0.6743	0.1615	0.5128	34.5237	0.0002102	0.000488	True
chr22	41091660	41091766	6	0.8852	0.1307	0.7545	28.9203	8.044e-05	0.000236	True
chr22	41091849	41092109	6	0.7691	0.3316	0.4375	40.3412	7.994e-06	4.162e-05	True
chr22	41116728	41117093	9	0.8252	0.4254	0.3998	20.0768	1.323e-05	6.173e-05	True
chr22	41124608	41124793	5	0.8153	0.4424	0.3728	28.6537	0.0001783	0.0004297	True
chr22	41124850	41124972	6	0.7591	0.4573	0.3018	23.0093	0.0002337	0.0005292	True
chr22	19516864	19516967	6	0.8886	0.9865	-0.0978	31.5472	0.000327	0.0006833	True
chr22	41165795	41166049	5	0.9232	0.6592	0.264	36.146	0.0005551	0.00102	True
chr22	41251197	41251367	5	0.4648	0.7091	-0.2443	23.4773	0.001452	0.002148	True
chr22	41267764	41268484	6	0.8875	0.9787	-0.0912	24.6534	0.004663	0.005528	True
chr22	41278055	41278132	6	0.9112	0.9789	-0.0678	22.4136	0.01268	0.01349	True
chr22	41303411	41303821	5	0.9674	0.8196	0.1478	19.6793	0.001822	0.002572	True
chr22	41305147	41305461	5	0.8971	0.9775	-0.0804	16.2038	0.01454	0.01526	True
chr22	41363749	41363946	5	0.9633	0.7775	0.1857	48.0629	5.371e-05	0.0001774	True
chr22	41367856	41368108	5	0.8815	0.9875	-0.106	45.8117	0.0004554	0.000874	True
chr22	41377131	41377361	5	0.8498	0.9749	-0.1251	23.8865	0.002696	0.003517	True
chr22	41378993	41379061	5	0.8878	0.7415	0.1464	23.2175	0.006165	0.007041	True
chr22	41380552	41380695	5	0.8555	0.967	-0.1115	18.7342	0.008792	0.009652	True
chr22	41387123	41387350	5	0.7551	0.921	-0.1659	27.3135	0.001944	0.002708	True
chr22	19546785	19547296	9	0.8985	0.7301	0.1683	19.9824	0.00037	0.0007485	True
chr22	41400106	41400616	6	0.933	0.8381	0.0949	20.1873	0.01452	0.01525	True
chr22	41412396	41413230	9	0.8499	0.9709	-0.1211	15.7892	0.0003012	0.0006433	True
chr22	41428026	41428511	5	0.8293	0.9738	-0.1445	25.1266	0.002967	0.003799	True
chr22	41449457	41449742	5	0.7403	0.9636	-0.2233	42.604	0.0005413	0.001002	True
chr22	41457356	41457700	8	0.8739	0.9742	-0.1003	19.0932	0.001347	0.002016	True
chr22	41471003	41471178	8	0.8478	0.9755	-0.1276	20.9149	0.0002582	0.0005712	True
chr22	41483865	41484571	10	0.8763	0.9743	-0.098	16.3432	0.0002315	0.0005257	True
chr22	41488743	41488802	6	0.1672	0.0245	0.1427	18.3318	0.001259	0.001915	True
chr22	41497704	41498298	5	0.8132	0.9848	-0.1716	47.5891	0.0001315	0.0003434	True
chr22	41559425	41559579	5	0.8409	0.983	-0.1422	48.0069	0.0004559	0.0008746	True
chr22	41578468	41578969	6	0.8868	0.9828	-0.096	45.3066	0.0008198	0.001368	True
chr22	41596970	41597110	5	0.5838	0.8314	-0.2476	50.5652	0.0001968	0.0004632	True
chr22	19568806	19569006	5	0.9075	0.9849	-0.0774	27.4823	0.005018	0.005881	True
chr22	41602725	41602789	5	0.8603	0.9754	-0.115	26.598	0.003635	0.004489	True
chr22	41615870	41616081	6	0.9262	0.7175	0.2087	16.9668	0.002012	0.002782	True
chr22	41630534	41630718	6	0.8804	0.9923	-0.1119	79.3109	6.363e-06	3.483e-05	True
chr22	41633678	41634098	57	0.1529	0.0164	0.1365	112.0951	4.394e-37	1.479e-34	True
chr22	41634120	41634240	13	0.1763	0.0198	0.1565	127.7943	1.278e-10	3.882e-09	True
chr22	19583207	19583606	6	0.972	0.8666	0.1054	23.5426	0.002472	0.003274	True
chr22	41684535	41684852	6	0.4468	0.229	0.2177	26.8601	0.0004853	0.0009171	True
chr22	19585179	19585739	7	0.8204	0.9568	-0.1364	24.6218	0.001112	0.001744	True
chr22	41703458	41703604	5	0.9587	0.7612	0.1975	97.2096	0.0001684	0.0004128	True
chr22	41723066	41723273	5	0.8836	0.7262	0.1573	16.0743	0.02774	0.02803	True
chr22	41726119	41726397	7	0.9662	0.8479	0.1184	75.4992	3.667e-06	2.297e-05	True
chr22	41730191	41730728	6	0.8201	0.9459	-0.1259	15.0448	0.01077	0.0116	True
chr22	41736108	41736418	5	0.9007	0.7882	0.1125	24.6518	0.01007	0.01092	True
chr22	41737258	41737440	5	0.908	0.7864	0.1216	20.9393	0.01424	0.01498	True
chr22	41755872	41756653	16	0.8029	0.3832	0.4197	17.8249	2.186e-08	3.532e-07	True
chr22	41764700	41764806	5	0.8161	0.9527	-0.1366	44.4456	0.003381	0.004234	True
chr22	41772579	41772861	8	0.9187	0.8081	0.1106	16.1792	0.01877	0.01932	True
chr22	41776645	41776780	7	0.2202	0.0749	0.1454	28.2959	0.0005933	0.001069	True
chr22	41778695	41778815	7	0.1117	0.0276	0.0841	19.0797	0.0057	0.006567	True
chr22	41778884	41779152	9	0.534	0.1818	0.3523	30.2523	6.891e-07	5.924e-06	True
chr22	41793967	41794065	5	0.8861	0.7291	0.157	31.0127	0.003387	0.004238	True
chr22	41801716	41801956	5	0.6518	0.8752	-0.2234	24.5896	0.00247	0.003273	True
chr22	41815002	41815017	5	0.543	0.8364	-0.2934	28.2698	0.0004039	0.0008035	True
chr22	41845326	41845514	5	0.5055	0.6325	-0.127	20.8526	0.0141	0.01484	True
chr22	41901516	41901596	5	0.7674	0.9687	-0.2013	33.8337	0.0004321	0.0008457	True
chr22	41902942	41903035	5	0.9463	0.849	0.0973	18.6965	0.01478	0.01545	True
chr22	41908993	41909279	8	0.4044	0.2221	0.1824	16.4215	0.001795	0.002545	True
chr22	19617702	19617924	5	0.0375	0.2184	-0.1809	23.1156	0.002449	0.003249	True
