chr	start	end	coverage	methylation_level	type
chr1	162904	162905	31	0.7848	non-DMR
chr1	162945	162946	36	0.7819	non-DMR
chr1	162962	162963	32	0.8474	non-DMR
chr1	162979	162980	38	0.758	non-DMR
chr1	163019	163020	29	0.6581	non-DMR
chr1	163039	163040	22	0.7625	non-DMR
chr1	163089	163090	25	0.8593	non-DMR
chr1	163115	163116	34	0.7936	non-DMR
chr1	163161	163162	25	0.7481	non-DMR
chr1	163182	163183	27	0.8227	non-DMR
chr1	163204	163205	31	0.8453	non-DMR
chr1	163219	163220	27	0.6858	non-DMR
chr1	163243	163244	35	0.7262	non-DMR
chr1	163263	163264	35	0.8003	non-DMR
chr1	163278	163279	32	0.827	non-DMR
chr1	163307	163308	29	0.8063	non-DMR
chr1	163357	163358	24	0.7324	non-DMR
chr1	163378	163379	27	0.6586	non-DMR
chr1	163405	163406	32	0.6763	non-DMR
chr1	163435	163436	29	0.7244	non-DMR
chr1	163535	163536	23	0.9353	non-DMR
chr1	163611	163612	23	0.7703	non-DMR
chr1	163661	163662	22	1.0	non-DMR
chr1	163735	163736	32	0.8345	non-DMR
chr1	163794	163795	27	0.8084	non-DMR
chr1	163858	163859	29	0.7302	non-DMR
chr1	163937	163938	43	0.6493	non-DMR
chr1	163959	163960	28	0.8451	flank-DMR
