chr	start	end	coverage	methylation_level
chr1	100000	100001	26	0.6641
chr1	100498	100499	29	0.376
chr1	100915	100916	28	0.7326
chr1	101005	101006	26	0.6229
chr1	109610	109611	34	0.5136
chr1	109679	109680	25	0.466
chr1	109784	109785	24	0.3312
chr1	110139	110140	34	0.472
chr1	111833	111834	26	0.4061
chr1	111862	111863	28	0.4598
chr1	111864	111865	31	0.6924
chr1	111899	111900	31	0.5167
chr1	114313	114314	24	0.333
chr1	114740	114741	36	0.288
chr1	115133	115134	28	0.0781
chr1	115208	115209	31	0.212
chr1	121699	121700	27	0.48
chr1	121957	121958	26	0.1714
chr1	122201	122202	30	0.5091
chr1	125700	125701	31	0.6657
chr1	125703	125704	30	0.6817
chr1	125744	125745	22	0.6156
chr1	125755	125756	24	0.4631
chr1	127337	127338	28	0.1261
chr1	127352	127353	35	0.2959
chr1	127383	127384	34	0.0662
chr1	127429	127430	38	0.2998
chr1	129602	129603	28	0.1216
chr1	130034	130035	27	0.3432
chr1	130451	130452	26	0.2543
chr1	131228	131229	25	0.544
chr1	131653	131654	29	0.4842
chr1	131970	131971	31	0.4182
chr1	132158	132159	25	0.3794
chr1	134051	134052	37	0.2509
chr1	134348	134349	23	0.4707
chr1	134636	134637	22	0.3364
chr1	134909	134910	36	0.2727
chr1	136165	136166	37	0.3641
chr1	136259	136260	38	0.1971
chr1	136451	136452	33	0.2177
chr1	136731	136732	30	0.2032
chr1	136989	136990	23	0.2681
chr1	138761	138762	31	0.3322
chr1	139064	139065	24	0.227
chr1	139549	139550	31	0.2761
chr1	139682	139683	26	0.299
chr1	141334	141335	34	1.0
chr1	141558	141559	32	1.0
chr1	141751	141752	28	1.0
chr1	142106	142107	32	1.0
chr1	142335	142336	31	1.0
chr1	142389	142390	28	1.0
chr1	143951	143952	28	0.6539
chr1	143969	143970	20	0.5735
chr1	143985	143986	29	0.6225
chr1	143994	143995	33	0.6118
chr1	160635	160636	32	1.0
chr1	160692	160693	27	1.0
chr1	160877	160878	37	1.0
chr1	161201	161202	30	1.0
chr1	161282	161283	25	1.0
chr1	163124	163125	34	0.3115
chr1	163364	163365	30	0.3964
chr1	163469	163470	31	0.4364
chr1	163864	163865	27	0.6026
chr1	169714	169715	22	0.5793
chr1	169877	169878	31	0.5644
chr1	170241	170242	23	0.6032
chr1	170313	170314	33	0.5844
chr1	170735	170736	30	0.7279
chr1	177572	177573	34	0.2503
chr1	177575	177576	32	0.461
chr1	177612	177613	31	0.2138
chr1	180237	180238	32	0.6339
chr1	180614	180615	17	0.458
chr1	180877	180878	29	0.284
chr1	181075	181076	19	0.55
chr1	182108	182109	30	0.2244
chr1	182245	182246	24	0.2587
chr1	182705	182706	36	0.1976
chr1	183071	183072	26	0.4531
chr1	189232	189233	36	1.0
chr1	189507	189508	32	0.0
chr1	189793	189794	29	1.0
chr1	189987	189988	33	0.0
chr1	190990	190991	45	0.2626
chr1	191110	191111	29	0.2373
chr1	191606	191607	31	0.3608
chr1	191784	191785	31	0.5405
chr1	192626	192627	27	0.3224
chr1	192821	192822	30	0.6723
chr1	192913	192914	31	0.7238
chr1	193353	193354	32	0.5641
chr1	194630	194631	30	0.2825
chr1	195105	195106	23	0.0813
chr1	195378	195379	34	0.2349
chr1	195439	195440	31	0.2999
chr1	196498	196499	31	0.2974
chr1	196545	196546	29	0.1757
chr1	196588	196589	31	0.1852
chr1	196611	196612	25	0.2382
chr1	198042	198043	24	0.5445
chr1	198333	198334	34	0.5307
chr1	198739	198740	19	0.5376
chr1	199001	199002	31	0.5514
chr1	200983	200984	23	0.3796
chr1	201073	201074	34	0.5305
chr1	201132	201133	28	0.3243
chr1	201313	201314	26	0.3672
chr1	203040	203041	32	0.5134
chr1	203462	203463	28	0.1911
chr1	203823	203824	23	0.4187
chr1	210683	210684	30	0.5181
chr1	210860	210861	33	0.5417
chr1	210968	210969	27	0.4283
chr1	211031	211032	26	0.6453
chr1	211457	211458	24	0.5944
chr1	211554	211555	31	0.8017
chr1	212381	212382	29	0.4349
chr1	212682	212683	35	0.3375
chr1	212834	212835	29	0.3085
chr1	212946	212947	31	0.3344
chr1	214060	214061	27	0.6902
chr1	214475	214476	23	0.8259
chr1	214752	214753	25	0.745
chr1	214846	214847	25	0.6949
chr1	215070	215071	30	0.6684
chr1	216962	216963	35	0.902
chr1	216998	216999	32	0.8862
chr1	217018	217019	24	0.9079
chr1	217039	217040	38	0.78
chr1	217051	217052	26	0.9785
chr1	217098	217099	29	0.9994
chr1	217145	217146	41	0.8819
chr1	217191	217192	30	0.7973
chr1	217246	217247	36	0.8337
chr1	217271	217272	31	0.816
chr1	217305	217306	28	0.7563
chr1	217321	217322	34	0.7315
chr1	217330	217331	28	0.9198
chr1	217344	217345	32	0.7848
chr1	217354	217355	36	0.9217
chr1	217371	217372	24	0.7932
chr1	217404	217405	36	0.9316
chr1	217407	217408	18	0.9642
chr1	217432	217433	28	0.8226
chr1	217469	217470	33	0.8263
chr1	217507	217508	40	0.6893
chr1	217532	217533	34	0.9179
chr1	217563	217564	22	0.9783
chr1	217600	217601	35	0.8454
chr1	217610	217611	30	0.8442
chr1	217651	217652	37	0.8384
chr1	217658	217659	24	0.8597
chr1	217664	217665	33	0.8958
chr1	217685	217686	32	0.7931
chr1	217712	217713	27	0.827
chr1	217759	217760	32	0.9589
chr1	217807	217808	37	0.8399
chr1	217874	217875	28	0.9334
chr1	217930	217931	38	0.7784
chr1	217974	217975	27	0.8963
chr1	217984	217985	26	0.9187
chr1	218006	218007	33	0.7825
chr1	218018	218019	26	0.7058
chr1	218020	218021	36	0.9173
chr1	218853	218854	33	0.5801
chr1	219080	219081	23	0.6464
chr1	219395	219396	21	0.7284
chr1	219590	219591	28	0.6112
chr1	219748	219749	24	0.5072
chr1	222887	222888	23	0.3675
chr1	223359	223360	34	0.5527
chr1	223851	223852	33	0.3079
chr1	223908	223909	37	0.4053
chr1	223968	223969	30	0.3538
chr1	225711	225712	28	0.2811
chr1	225749	225750	37	0.2087
chr1	225777	225778	23	0.3373
chr1	225818	225819	17	0.1707
chr1	228221	228222	32	0.1252
chr1	228599	228600	29	0.1455
chr1	228803	228804	27	0.1212
chr1	229100	229101	35	0.1075
chr1	229181	229182	32	0.1074
chr1	230325	230326	33	0.7101
chr1	230455	230456	29	0.6954
chr1	230730	230731	33	0.7988
chr1	230992	230993	29	0.6711
chr1	231289	231290	39	0.7604
chr1	231368	231369	24	0.6453
chr1	233126	233127	31	0.6369
chr1	233242	233243	31	0.2961
chr1	233681	233682	36	0.4938
chr1	233920	233921	30	0.3829
chr1	234002	234003	28	0.5324
chr1	245156	245157	30	0.0803
chr1	245398	245399	38	0.0289
chr1	245489	245490	34	0.0916
chr1	245888	245889	33	0.0708
chr1	248705	248706	30	0.4599
chr1	248896	248897	35	0.2063
chr1	249042	249043	36	0.3495
chr1	249540	249541	37	0.3107
chr1	251676	251677	33	0.401
chr1	251720	251721	27	0.3231
chr1	251748	251749	26	0.4432
chr1	251789	251790	28	0.3889
chr1	254918	254919	30	0.7918
chr1	255363	255364	37	0.8393
chr1	255757	255758	35	0.6828
chr1	255817	255818	24	0.798
chr1	262383	262384	27	0.8379
chr1	262462	262463	25	0.7222
chr1	262799	262800	37	0.8372
chr1	263060	263061	31	0.6799
chr1	264968	264969	24	0.992
chr1	265690	265691	27	1.0
chr1	265751	265752	29	1.0
chr1	265809	265810	34	1.0
chr1	271530	271531	27	0.6113
chr1	271969	271970	20	0.6135
chr1	272182	272183	30	0.4359
chr1	272284	272285	24	0.6639
chr1	272357	272358	35	0.5021
