chr	start	end	coverage	methylation_level
chr1	100005	100006	33	0.7819	good-DMR
chr1	100046	100047	32	0.6893	good-DMR
chr1	100096	100097	33	0.904	good-DMR
chr1	100123	100124	28	0.7557	good-DMR
chr1	100150	100151	28	0.8928	good-DMR
chr1	100200	100201	35	0.9023	good-DMR
chr1	100244	100245	36	0.986	good-DMR
chr1	100268	100269	28	0.8787	good-DMR
chr1	100307	100308	22	0.8515	good-DMR
chr1	100331	100332	36	0.8816	good-DMR
chr1	100355	100356	33	0.9379	good-DMR
chr1	100389	100390	31	0.8204	good-DMR
chr1	100404	100405	30	0.8042	good-DMR
chr1	100419	100420	35	0.8983	good-DMR
chr1	100442	100443	33	0.8393	good-DMR
chr1	100460	100461	26	0.8025	good-DMR
chr1	100495	100496	33	0.9764	good-DMR
chr1	100514	100515	32	0.801	good-DMR
chr1	100529	100530	25	0.8613	good-DMR
chr1	100629	100630	23	0.8794	good-DMR
chr1	100716	100717	34	0.805	good-DMR
chr1	100816	100817	36	0.9689	good-DMR
chr1	100866	100867	43	0.8547	good-DMR
chr1	100938	100939	22	0.8433	good-DMR
chr1	101038	101039	25	1.0	good-DMR
chr1	101074	101075	30	0.8931	flank-DMR
chr1	101182	101183	29	0.926	flank-DMR
chr1	101194	101195	27	0.9389	flank-DMR
chr1	101250	101251	35	0.8299	flank-DMR
chr1	101344	101345	25	0.8714	flank-DMR
chr1	101380	101381	33	0.8586	flank-DMR
chr1	101386	101387	29	0.1477	good-DMR
chr1	101425	101426	27	0.1312	good-DMR
chr1	101464	101465	29	0.2984	good-DMR
chr1	101481	101482	42	0.0925	good-DMR
chr1	101529	101530	27	0.3412	good-DMR
chr1	101544	101545	33	0.3443	good-DMR
chr1	101594	101595	32	0.117	good-DMR
chr1	101610	101611	32	0.1734	good-DMR
chr1	101637	101638	34	0.1034	good-DMR
chr1	101687	101688	35	0.1395	good-DMR
chr1	101719	101720	36	0.1514	good-DMR
chr1	101764	101765	29	0.0993	good-DMR
chr1	101805	101806	36	0.0912	good-DMR
chr1	101808	101809	31	0.2103	good-DMR
chr1	101908	101909	30	0.1289	good-DMR
chr1	101984	101985	30	0.1413	good-DMR
chr1	102084	102085	23	0.1473	good-DMR
chr1	102134	102135	33	0.1842	good-DMR
chr1	102188	102189	28	0.273	flank-DMR
chr1	102314	102315	31	0.2269	flank-DMR
chr1	102356	102357	29	0.114	flank-DMR
chr1	102456	102457	33	0.1733	flank-DMR
chr1	102472	102473	27	0.1127	flank-DMR
chr1	102478	102479	35	0.0487	flank-DMR
chr1	102498	102499	30	0.206	flank-DMR
chr1	102504	102505	35	0.0238	flank-DMR
chr1	102620	102621	27	0.2289	flank-DMR
chr1	102636	102637	37	0.2091	non-DMR
chr1	102684	102685	26	0.0709	non-DMR
chr1	102715	102716	41	0.2722	non-DMR
chr1	102749	102750	29	0.3236	non-DMR
chr1	102799	102800	29	0.2862	non-DMR
chr1	102838	102839	30	0.1459	non-DMR
chr1	102877	102878	31	0.0808	non-DMR
chr1	102927	102928	35	0.2308	non-DMR
chr1	102952	102953	35	0.21	non-DMR
chr1	102972	102973	25	0.4005	non-DMR
chr1	102990	102991	28	0.1422	non-DMR
chr1	103005	103006	33	0.2609	non-DMR
chr1	103055	103056	34	0.1807	non-DMR
chr1	103072	103073	35	0.348	non-DMR
chr1	103099	103100	28	0.3333	non-DMR
chr1	103103	103104	31	0.2386	non-DMR
chr1	103203	103204	36	0.3082	non-DMR
chr1	103303	103304	27	0.0575	non-DMR
chr1	103403	103404	29	0.3511	non-DMR
chr1	103473	103474	25	0.1653	non-DMR
chr1	103563	103564	29	0.2196	non-DMR
chr1	103597	103598	32	0.1596	flank-DMR
chr1	103612	103613	34	0.7729	non-DMR
chr1	103638	103639	28	0.923	non-DMR
chr1	103653	103654	32	0.718	non-DMR
chr1	103690	103691	30	0.7276	non-DMR
chr1	103723	103724	37	0.8814	non-DMR
chr1	103757	103758	33	0.806	non-DMR
chr1	103804	103805	31	0.9645	non-DMR
chr1	103854	103855	23	0.8525	non-DMR
chr1	103879	103880	26	0.754	non-DMR
chr1	103917	103918	36	0.7052	non-DMR
chr1	103952	103953	18	0.6884	non-DMR
chr1	103988	103989	34	0.7819	non-DMR
chr1	104025	104026	32	0.869	non-DMR
chr1	104075	104076	23	0.7488	non-DMR
chr1	104151	104152	25	0.8942	non-DMR
chr1	104201	104202	32	0.881	non-DMR
chr1	104267	104268	26	0.7674	non-DMR
chr1	104367	104368	28	0.9048	non-DMR
chr1	104467	104468	30	0.6654	non-DMR
chr1	104541	104542	39	0.8165	flank-DMR
