chr	pos	meth_level	coverage
chr1	100000	0.4734	28
chr1	100498	0.6876	24
chr1	100915	0.6467	33
chr1	101005	0.6096	38
chr1	109610	0.3113	27
chr1	109679	0.3042	29
chr1	109784	0.4149	30
chr1	110139	0.3258	25
chr1	111833	0.4213	29
chr1	111862	0.3919	39
chr1	111864	0.8184	35
chr1	111899	0.4775	34
chr1	114313	0.1076	27
chr1	114740	0.2045	33
chr1	115133	0.0196	40
chr1	115208	0.2627	28
chr1	121699	0.4832	24
chr1	121774	0.4172	29
chr1	121957	0.2371	32
chr1	122201	0.3334	34
chr1	125700	0.5354	36
chr1	125703	0.5268	29
chr1	125744	0.5575	27
chr1	125755	0.6376	25
chr1	127337	0.1761	27
chr1	127352	0.3129	26
chr1	127383	0.1378	31
chr1	127429	0.3698	26
chr1	129602	0.2403	32
chr1	130034	0.2472	32
chr1	130451	0.3031	28
chr1	131228	0.3094	30
chr1	131653	0.6099	22
chr1	131970	0.4316	26
chr1	132158	0.6929	25
chr1	134051	0.4159	26
chr1	134348	0.34	26
chr1	134636	0.2272	27
chr1	134909	0.2128	27
chr1	136165	0.1129	30
chr1	136259	0.3109	27
chr1	136451	0.2552	27
chr1	136731	0.2371	30
chr1	136843	0.2415	34
chr1	136989	0.1187	25
chr1	138761	0.4218	32
chr1	139549	0.3013	31
chr1	139682	0.4876	25
chr1	141334	0.8843	38
chr1	141558	0.6749	37
chr1	141751	0.6417	26
chr1	142106	0.6711	36
chr1	142389	0.7634	36
chr1	143951	0.7224	34
chr1	143969	0.6986	26
chr1	143985	0.6963	36
chr1	143994	0.3949	26
chr1	160635	0.8895	31
chr1	160692	0.7962	36
chr1	160877	0.6873	31
chr1	161201	0.7353	31
chr1	161282	0.7136	25
chr1	161390	0.5409	30
chr1	163124	0.3535	26
chr1	163364	0.7037	24
chr1	163469	0.3544	31
chr1	163864	0.5288	32
chr1	169714	0.4787	21
chr1	169877	0.6944	20
chr1	170241	0.5701	31
chr1	170313	0.5482	32
chr1	170735	0.5867	30
chr1	177572	0.4173	25
chr1	177575	0.2822	35
chr1	177606	0.6025	32
chr1	177612	0.2503	25
chr1	180237	0.3551	38
chr1	180614	0.6386	26
chr1	180877	0.2396	29
chr1	181075	0.476	23
chr1	182108	0.2596	26
chr1	182245	0.0979	35
chr1	182705	0.2478	28
chr1	183071	0.4827	35
chr1	189232	0.1511	26
chr1	189507	0.7721	40
chr1	189793	0.9694	28
chr1	189987	0.1405	24
chr1	190990	0.4282	37
chr1	191110	0.3059	31
chr1	191606	0.4286	32
chr1	191784	0.1142	22
chr1	192626	0.4497	29
chr1	192913	0.6426	26
chr1	193353	0.4253	36
chr1	194630	0.3677	21
chr1	195105	0.0407	25
chr1	195378	0.2609	23
chr1	195439	0.3241	22
chr1	196498	0.3075	27
chr1	196545	0.0869	40
chr1	196588	0.2755	24
chr1	196611	0.1108	17
chr1	198042	0.5202	26
chr1	198333	0.4664	30
chr1	198739	0.5576	27
chr1	199001	0.4783	27
chr1	200983	0.4243	33
chr1	201073	0.3109	31
chr1	201132	0.1538	21
chr1	201313	0.329	23
chr1	203040	0.5895	34
chr1	203462	0.3305	35
chr1	203823	0.3493	23
chr1	203940	0.4094	31
chr1	210683	0.4228	29
chr1	210860	0.3988	20
chr1	210968	0.2538	33
chr1	211031	0.252	26
chr1	211554	0.2013	27
chr1	211635	0.4767	29
chr1	212381	0.5733	27
chr1	212682	0.255	31
chr1	212834	0.256	28
chr1	212946	0.5783	29
chr1	214060	0.749	24
chr1	214475	0.7969	25
chr1	214752	0.6623	38
chr1	214846	0.7163	33
chr1	215070	0.581	31
chr1	216962	0.6955	27
chr1	216998	0.7278	33
chr1	217018	0.4533	25
chr1	217039	0.7019	35
chr1	217051	0.4764	31
chr1	217098	0.6565	28
chr1	217145	0.6823	37
chr1	217191	0.5172	37
chr1	217233	0.5663	20
chr1	217246	0.5186	28
chr1	217271	0.6048	25
chr1	217305	0.478	41
chr1	217321	0.5755	35
chr1	217330	0.4861	24
chr1	217344	0.5765	27
chr1	217354	0.5658	30
chr1	217404	0.5541	20
chr1	217407	0.52	37
chr1	217432	0.3954	33
chr1	217469	0.4082	34
chr1	217507	0.6942	30
chr1	217563	0.388	28
chr1	217600	0.6839	29
chr1	217610	0.4488	24
chr1	217651	0.5822	44
chr1	217658	0.627	20
chr1	217664	0.5905	34
chr1	217712	0.6936	35
chr1	217759	0.5568	29
chr1	217807	0.5403	31
chr1	217839	0.7374	26
chr1	217874	0.328	29
chr1	217902	0.7359	41
chr1	217930	0.577	34
chr1	217968	0.6217	33
chr1	217974	0.6197	35
chr1	217984	0.6181	28
chr1	218006	0.6763	34
chr1	218018	0.4645	25
chr1	218020	0.6876	33
chr1	219080	0.6739	25
chr1	219395	0.4864	34
chr1	219590	0.6705	37
chr1	219748	0.5554	40
chr1	222887	0.7554	27
chr1	223359	0.7698	27
chr1	223851	0.5738	25
chr1	223908	0.6175	35
chr1	223968	0.6471	23
chr1	224018	0.6718	26
chr1	225711	0.3338	26
chr1	225749	0.2059	25
chr1	225777	0.292	37
chr1	225818	0.4354	29
chr1	228221	0.3265	22
chr1	228599	0.3915	30
chr1	228803	0.3546	32
chr1	229100	0.5926	28
chr1	229181	0.4157	31
chr1	230325	0.6265	30
chr1	230455	0.8451	21
chr1	230730	0.8694	32
chr1	230992	0.5761	15
chr1	231289	0.8511	23
chr1	231368	0.744	32
chr1	233126	0.5751	29
chr1	233242	0.4517	20
chr1	233681	0.3758	30
chr1	233920	0.5282	20
chr1	234002	0.5529	34
chr1	245156	0.4828	36
chr1	245398	0.1767	30
chr1	245489	0.3364	31
chr1	245888	0.2132	23
chr1	246022	0.2566	25
chr1	248705	0.2555	28
chr1	248896	0.3248	23
chr1	249042	0.1242	30
chr1	249540	0.2668	31
chr1	251676	0.3459	31
chr1	251720	0.3825	26
chr1	251748	0.4892	32
chr1	251789	0.3484	30
chr1	254918	0.875	31
chr1	255363	0.6872	28
chr1	255757	0.8957	24
chr1	255817	0.7896	29
chr1	262383	0.6662	22
chr1	262462	0.6858	34
chr1	262799	0.7717	28
chr1	263060	0.5711	25
chr1	264968	0.8028	29
chr1	265451	0.8215	30
chr1	265690	0.796	31
chr1	265751	0.7823	31
chr1	265809	0.8846	20
chr1	271530	0.7817	31
chr1	271969	0.8259	23
chr1	272182	0.7886	27
chr1	272284	0.8006	27
chr1	272357	0.8363	23
