chr	start	end	CpG_count	mean_delta_methylation	category
chr1	100000	101005	4	-0.02	non-DMR
chr1	102865	103830	38	0.011	non-DMR
chr1	105822	106887	45	0.003	non-DMR
chr1	107854	108518	4	0.072	non-DMR
chr1	109610	110139	4	0.092	non-DMR
chr1	111833	111899	4	0.011	non-DMR
chr1	114313	115208	4	0.09	non-DMR
chr1	116638	117490	5	-0.035	non-DMR
chr1	119390	120320	36	-0.015	non-DMR
chr1	121699	122201	4	-0.023	non-DMR
chr1	124252	125110	4	-0.02	non-DMR
chr1	125700	125755	4	0.017	non-DMR
chr1	127337	127429	4	-0.066	non-DMR
chr1	129602	130451	3	-0.039	non-DMR
chr1	131228	132158	4	-0.046	non-DMR
chr1	134051	134909	4	0.06	non-DMR
chr1	136165	136989	6	0.02	non-DMR
chr1	138761	139682	4	-0.078	non-DMR
chr1	141334	142389	6	0.285	good-DMR
chr1	143951	143994	4	-0.03	non-DMR
chr1	145892	146955	5	-0.042	non-DMR
chr1	148373	149163	3	-0.092	non-DMR
chr1	150214	151079	35	0.016	non-DMR
chr1	152711	153819	43	-0.007	non-DMR
chr1	155623	155765	4	-0.051	non-DMR
chr1	158754	159665	4	-0.008	non-DMR
chr1	160635	161390	6	0.288	good-DMR
chr1	163124	163864	4	-0.058	non-DMR
chr1	165280	166344	6	0.008	non-DMR
chr1	167327	168160	30	-0.037	non-DMR
chr1	169714	170735	5	0.017	non-DMR
chr1	172217	173336	40	-0.02	non-DMR
chr1	175228	176222	9	0.027	non-DMR
chr1	177572	177612	4	-0.039	non-DMR
chr1	180237	181075	4	0.03	non-DMR
chr1	182108	183071	4	0.012	non-DMR
chr1	185057	186134	44	0.001	non-DMR
chr1	187007	187931	5	0.036	non-DMR
chr1	189232	190136	5	0.326	notable-DMR
chr1	190990	191784	4	0.011	non-DMR
chr1	192626	193353	4	-0.03	non-DMR
chr1	194630	195439	4	-0.04	non-DMR
chr1	196498	196611	4	0.036	non-DMR
chr1	198042	199001	4	0.027	non-DMR
chr1	200983	201313	4	0.098	non-DMR
chr1	203040	203940	4	-0.001	non-DMR
chr1	204708	205709	39	0.026	non-DMR
chr1	206965	208001	6	0.014	non-DMR
chr1	208645	209396	5	-0.059	non-DMR
chr1	210683	211635	7	0.258	good-DMR
chr1	212381	212946	4	-0.054	non-DMR
chr1	214060	215070	5	-0.032	non-DMR
chr1	216962	218020	43	0.284	good-DMR
chr1	218853	219748	5	-0.016	non-DMR
chr1	220764	221693	6	-0.059	non-DMR
chr1	222887	224018	6	-0.291	good-DMR
chr1	225711	225818	4	-0.036	non-DMR
chr1	228221	229181	5	-0.291	good-DMR
chr1	230325	231368	6	-0.038	non-DMR
chr1	233126	234002	5	-0.016	non-DMR
chr1	235674	236699	44	0.008	non-DMR
chr1	238643	239584	40	0.074	non-DMR
chr1	240533	241564	5	-0.044	non-DMR
chr1	243521	244373	5	-0.005	non-DMR
chr1	245156	246022	5	-0.23	good-DMR
chr1	246820	247722	5	0.062	non-DMR
chr1	248705	249540	4	0.089	non-DMR
chr1	251676	251789	4	-0.003	non-DMR
chr1	253216	253894	4	-0.043	non-DMR
chr1	254918	255817	4	-0.029	non-DMR
chr1	256947	257957	6	-0.07	non-DMR
chr1	259507	260432	5	-0.04	non-DMR
chr1	262383	263060	4	0.09	non-DMR
chr1	264968	265809	5	0.198	good-DMR
chr1	266862	267784	7	-0.006	non-DMR
chr1	269735	270796	5	0.092	non-DMR
chr1	271530	272357	5	-0.231	good-DMR
