chr	start	end	coverage	methylation_level
chr1	216962	216963	22	0.7062
chr1	216998	216999	32	0.7596
chr1	217018	217019	28	0.4851
chr1	217051	217052	27	0.5755
chr1	217145	217146	26	0.6739
chr1	217233	217234	29	0.4975
chr1	217271	217272	41	0.588
chr1	217321	217322	33	0.4716
chr1	217330	217331	26	0.5281
chr1	217344	217345	29	0.5865
chr1	217354	217355	26	0.6011
chr1	217404	217405	35	0.593
chr1	217407	217408	29	0.5119
chr1	217432	217433	33	0.3842
chr1	217469	217470	32	0.453
chr1	217507	217508	24	0.7164
chr1	217563	217564	25	0.4023
chr1	217600	217601	28	0.6236
chr1	217610	217611	35	0.5009
chr1	217651	217652	37	0.5804
chr1	217664	217665	29	0.5476
chr1	217685	217686	28	0.4483
chr1	217712	217713	26	0.7002
chr1	217759	217760	35	0.5421
chr1	217839	217840	27	0.7583
chr1	217874	217875	31	0.3384
chr1	217930	217931	24	0.5994
chr1	217968	217969	37	0.6729
chr1	217974	217975	34	0.6134
chr1	218006	218007	36	0.6032
chr1	218018	218019	16	0.5117
chr1	218020	218021	36	0.679
