chr	start	end	coverage	methylation_level	type
chr1	158433	158434	32	0.6147	inconsistent-DMR
chr1	158448	158449	27	0.7402	inconsistent-DMR
chr1	158464	158465	26	0.843	inconsistent-DMR
chr1	158489	158490	29	0.5603	inconsistent-DMR
chr1	158539	158540	29	0.628	inconsistent-DMR
chr1	158570	158571	36	0.5745	inconsistent-DMR
chr1	158611	158612	39	0.9439	inconsistent-DMR
chr1	158640	158641	24	0.8931	inconsistent-DMR
chr1	158661	158662	28	0.7844	inconsistent-DMR
chr1	158686	158687	23	0.5864	inconsistent-DMR
chr1	158707	158708	17	0.7644	inconsistent-DMR
chr1	158724	158725	35	0.5708	inconsistent-DMR
chr1	158767	158768	29	0.6175	inconsistent-DMR
chr1	158793	158794	30	0.7446	inconsistent-DMR
chr1	158812	158813	35	0.6788	inconsistent-DMR
chr1	158845	158846	25	0.7207	inconsistent-DMR
chr1	158886	158887	27	0.8577	inconsistent-DMR
chr1	158946	158947	30	0.8407	inconsistent-DMR
chr1	159046	159047	31	0.808	inconsistent-DMR
chr1	159146	159147	30	0.8564	inconsistent-DMR
chr1	159246	159247	29	0.5421	inconsistent-DMR
chr1	159393	159394	24	0.6711	flank-DMR
chr1	159405	159406	32	0.7956	flank-DMR
