assembly	position	strand	class	mc	h
1	100000	+	CG	22	34
1	100498	+	CG	7	23
1	100915	+	CG	14	21
1	101005	+	CG	20	35
1	109610	+	CG	12	26
1	109679	+	CG	9	20
1	109784	+	CG	10	31
1	110139	+	CG	13	33
1	111833	+	CG	12	27
1	111862	+	CG	13	30
1	111864	+	CG	18	26
1	111899	+	CG	16	32
1	114313	+	CG	9	28
1	114740	+	CG	10	32
1	115208	+	CG	5	36
1	121699	+	CG	15	34
1	121774	+	CG	6	23
1	121957	+	CG	2	30
1	122201	+	CG	19	34
1	125700	+	CG	19	31
1	125703	+	CG	14	24
1	125744	+	CG	20	34
1	125755	+	CG	13	27
1	127337	+	CG	6	47
1	127352	+	CG	9	31
1	127383	+	CG	4	34
1	127429	+	CG	11	38
1	129602	+	CG	4	29
1	130034	+	CG	10	34
1	130451	+	CG	6	29
1	131228	+	CG	18	33
1	131653	+	CG	15	27
1	131970	+	CG	10	28
1	132158	+	CG	10	28
1	134051	+	CG	5	26
1	134348	+	CG	11	27
1	134636	+	CG	9	33
1	134909	+	CG	6	24
1	136165	+	CG	12	34
1	136259	+	CG	5	26
1	136451	+	CG	8	36
1	136731	+	CG	7	31
1	136843	+	CG	7	29
1	136989	+	CG	11	35
1	138761	+	CG	9	38
1	139064	+	CG	8	33
1	139549	+	CG	8	38
1	139682	+	CG	9	27
1	141334	+	CG	34	34
1	141558	+	CG	23	23
1	141751	+	CG	0	27
1	142106	+	CG	31	31
1	142335	+	CG	24	24
1	142389	+	CG	31	31
1	143951	+	CG	22	34
1	143985	+	CG	18	28
1	143994	+	CG	18	33
1	160635	+	CG	24	24
1	160692	+	CG	29	29
1	160877	+	CG	32	32
1	161201	+	CG	30	30
1	161282	+	CG	21	21
1	161390	+	CG	31	31
1	163124	+	CG	9	28
1	163364	+	CG	12	32
1	163469	+	CG	15	34
1	163864	+	CG	22	34
1	169714	+	CG	9	20
1	169877	+	CG	15	30
1	170241	+	CG	18	30
1	170313	+	CG	15	26
1	170735	+	CG	24	34
1	177572	+	CG	7	26
1	177575	+	CG	12	28
1	177606	+	CG	9	27
1	177612	+	CG	6	31
1	180237	+	CG	24	35
1	180614	+	CG	12	29
1	180877	+	CG	9	26
1	181075	+	CG	16	29
1	182108	+	CG	3	24
1	182245	+	CG	6	23
1	182705	+	CG	5	30
1	183071	+	CG	17	37
1	189232	+	CG	22	22
1	189507	+	CG	0	24
1	189793	+	CG	0	34
1	189987	+	CG	33	33
1	190136	+	CG	0	33
1	190990	+	CG	8	32
1	191110	+	CG	9	32
1	191606	+	CG	10	33
1	191784	+	CG	12	24
1	192626	+	CG	7	24
1	192821	+	CG	17	29
1	192913	+	CG	21	31
1	193353	+	CG	19	35
1	194630	+	CG	9	37
1	195105	+	CG	3	31
1	195378	+	CG	5	24
1	195439	+	CG	9	30
1	196498	+	CG	6	23
1	196545	+	CG	4	26
1	196588	+	CG	3	21
1	196611	+	CG	7	30
1	198042	+	CG	13	26
1	198333	+	CG	15	33
1	198739	+	CG	14	26
1	199001	+	CG	13	27
1	200983	+	CG	11	25
1	201073	+	CG	13	25
1	201132	+	CG	9	33
1	201313	+	CG	8	23
1	203040	+	CG	15	29
1	203462	+	CG	6	23
1	203823	+	CG	12	33
1	203940	+	CG	11	25
1	210683	+	CG	15	29
1	210860	+	CG	13	23
1	210968	+	CG	10	23
1	211031	+	CG	17	25
1	211457	+	CG	16	31
1	211554	+	CG	21	29
1	211635	+	CG	16	31
1	212381	+	CG	8	24
1	212682	+	CG	9	27
1	212834	+	CG	8	31
1	212946	+	CG	9	31
1	214060	+	CG	21	36
1	214475	+	CG	26	32
1	214752	+	CG	10	14
1	214846	+	CG	18	29
1	215070	+	CG	11	19
1	216962	+	CG	29	33
1	216998	+	CG	31	34
1	217018	+	CG	28	35
1	217039	+	CG	21	28
1	217098	+	CG	25	26
1	217145	+	CG	18	22
1	217233	+	CG	25	37
1	217246	+	CG	20	23
1	217271	+	CG	29	37
1	217305	+	CG	28	36
1	217321	+	CG	22	31
1	217330	+	CG	25	26
1	217344	+	CG	16	21
1	217354	+	CG	29	34
1	217371	+	CG	26	33
1	217404	+	CG	29	35
1	217407	+	CG	33	36
1	217432	+	CG	19	22
1	217469	+	CG	25	31
1	217507	+	CG	21	32
1	217563	+	CG	15	16
1	217600	+	CG	26	29
1	217610	+	CG	23	27
1	217651	+	CG	33	39
1	217658	+	CG	25	31
1	217664	+	CG	30	36
1	217685	+	CG	25	31
1	217712	+	CG	27	33
1	217759	+	CG	26	30
1	217807	+	CG	22	25
1	217839	+	CG	25	29
1	217874	+	CG	21	24
1	217902	+	CG	27	32
1	217930	+	CG	19	25
1	217974	+	CG	29	33
1	217984	+	CG	28	32
1	218006	+	CG	21	31
1	218018	+	CG	23	35
1	218020	+	CG	27	31
1	218853	+	CG	17	26
1	219080	+	CG	15	27
1	219395	+	CG	22	32
1	219590	+	CG	19	31
1	219748	+	CG	16	34
1	222887	+	CG	8	26
1	223359	+	CG	16	29
1	223851	+	CG	7	22
1	223908	+	CG	9	26
1	223968	+	CG	10	31
1	224018	+	CG	11	32
1	225711	+	CG	9	37
1	225749	+	CG	4	21
1	225777	+	CG	6	22
1	225818	+	CG	6	33
1	228221	+	CG	4	26
1	228599	+	CG	4	28
1	228803	+	CG	3	32
1	229100	+	CG	2	29
1	229181	+	CG	2	29
1	230325	+	CG	25	33
1	230455	+	CG	20	26
1	230992	+	CG	21	33
1	231289	+	CG	22	29
1	231368	+	CG	16	27
1	233126	+	CG	15	26
1	233242	+	CG	7	25
1	233681	+	CG	20	35
1	233920	+	CG	12	30
1	234002	+	CG	15	27
1	245156	+	CG	1	29
1	245398	+	CG	0	22
1	245489	+	CG	1	29
1	245888	+	CG	1	26
1	246022	+	CG	0	31
1	248705	+	CG	11	29
1	248896	+	CG	6	26
1	249042	+	CG	8	26
1	249540	+	CG	7	29
1	251676	+	CG	19	48
1	251720	+	CG	10	32
1	251748	+	CG	19	43
1	251789	+	CG	12	31
1	254918	+	CG	25	29
1	255363	+	CG	22	27
1	255757	+	CG	19	27
1	255817	+	CG	24	30
1	262383	+	CG	24	27
1	262462	+	CG	15	22
1	262799	+	CG	24	29
1	263060	+	CG	20	32
1	264968	+	CG	30	30
1	265451	+	CG	28	28
1	265690	+	CG	33	33
1	265751	+	CG	29	29
1	265809	+	CG	29	29
1	271530	+	CG	22	34
1	271969	+	CG	19	33
1	272182	+	CG	14	28
1	272284	+	CG	22	36
1	272357	+	CG	12	28
