chr	start	end	CpG_count	mean_delta_methylation	category
chr1	100000	100087	4	0.022	non-DMR
chr1	103038	103103	4	-0.045	non-DMR
chr1	108121	108930	4	0.069	non-DMR
chr1	110319	111185	4	-0.069	non-DMR
chr1	112266	113279	4	-0.001	non-DMR
chr1	114567	114615	4	0.07	non-DMR
chr1	116085	116150	4	0.006	non-DMR
chr1	118405	118489	4	-0.023	non-DMR
chr1	125315	125359	4	0.021	non-DMR
chr1	129953	130935	4	0.062	non-DMR
chr1	131939	132425	4	0.088	non-DMR
chr1	135742	136675	4	-0.074	non-DMR
chr1	137921	138042	4	-0.072	non-DMR
chr1	139776	140690	4	0.044	non-DMR
chr1	143140	143836	4	0.056	non-DMR
chr1	145119	146127	46	-0.313	good-DMR
chr1	147904	148906	6	0.191	good-DMR
chr1	150437	151186	4	-0.066	non-DMR
chr1	157518	158724	8	0.199	good-DMR
chr1	159280	159725	4	0.02	non-DMR
chr1	172546	173549	42	0.229	good-DMR
chr1	174706	175338	4	-0.041	non-DMR
chr1	177096	178079	34	0.363	good-DMR
chr1	179331	179417	4	-0.003	non-DMR
chr1	184297	185204	5	0.256	good-DMR
chr1	190401	191208	4	0.046	non-DMR
chr1	194724	195664	5	0.028	non-DMR
chr1	201261	202209	5	-0.242	good-DMR
chr1	203375	203432	4	0.009	non-DMR
chr1	209986	210908	6	0.272	good-DMR
chr1	216973	217023	4	-0.062	non-DMR
chr1	218726	219517	4	0.078	non-DMR
chr1	221054	221136	4	0.002	non-DMR
chr1	223112	223834	4	-0.024	non-DMR
chr1	227571	228375	4	-0.093	non-DMR
chr1	229019	229985	4	0.036	non-DMR
chr1	240908	241036	4	0.048	non-DMR
chr1	243699	244562	4	0.05	non-DMR
chr1	245557	246522	8	0.235	good-DMR
chr1	253063	253980	6	0.125	good-DMR
chr1	263118	263232	4	-0.042	non-DMR
chr1	267774	268797	5	0.327	good-DMR
chr1	270076	270180	4	0.003	non-DMR
chr1	274062	274143	4	-0.021	non-DMR
chr1	276986	277759	4	-0.031	non-DMR
chr1	279448	279969	4	0.014	non-DMR
chr1	284412	285412	6	-0.305	good-DMR
chr1	286622	287512	4	-0.045	non-DMR
chr1	289614	290371	31	0.221	good-DMR
chr1	291908	292884	42	0.258	good-DMR
chr1	299627	300459	4	-0.006	non-DMR
chr1	302559	302638	4	-0.051	non-DMR
chr1	304966	305039	4	0.02	non-DMR
chr1	307515	308453	5	0.251	good-DMR
chr1	310449	311556	7	0.005	non-DMR
chr1	317958	318838	6	-0.004	non-DMR
chr1	319731	319808	4	0.004	non-DMR
chr1	322737	322799	4	0.033	non-DMR
chr1	327973	329039	6	0.069	non-DMR
chr1	329662	330845	5	-0.026	non-DMR
chr1	334035	334942	36	0.18	good-DMR
chr1	336021	337086	5	0.008	non-DMR
chr1	338064	339085	6	0.27	good-DMR
chr1	340564	341437	4	-0.089	non-DMR
chr1	342333	343479	7	0.066	non-DMR
chr1	344797	345805	4	-0.045	non-DMR
chr1	347093	347159	4	0.08	non-DMR
chr1	351414	352415	7	0.402	good-DMR
chr1	355906	356817	5	0.304	good-DMR
chr1	359726	360279	4	0.024	non-DMR
chr1	362625	363599	5	-0.054	non-DMR
chr1	365023	366087	7	-0.262	good-DMR
chr1	368067	368109	4	0.074	non-DMR
chr1	370045	370123	4	-0.004	non-DMR
chr1	371669	371763	4	-0.021	non-DMR
chr1	373794	374636	4	-0.055	non-DMR
chr1	375692	375799	4	0.062	non-DMR
