chr	start	end	coverage	methylation_level	type
chr1	213675	213676	18	0.0105	sub-DMR
chr1	213700	213701	24	0.248	sub-DMR
chr1	213725	213726	19	0.1148	sub-DMR
chr1	213741	213742	34	0.1346	sub-DMR
chr1	213782	213783	20	0.2378	sub-DMR
chr1	213804	213805	33	0.2298	sub-DMR
chr1	213833	213834	25	0.193	sub-DMR
chr1	213883	213884	39	0.1265	sub-DMR
chr1	213898	213899	43	0.095	sub-DMR
chr1	213923	213924	33	0.1299	sub-DMR
chr1	213959	213960	27	0.0838	sub-DMR
chr1	213990	213991	30	0.0745	sub-DMR
chr1	214005	214006	28	0.1823	sub-DMR
chr1	214031	214032	26	0.0	sub-DMR
chr1	214081	214082	26	0.1012	sub-DMR
chr1	214113	214114	26	0.0	sub-DMR
chr1	214135	214136	36	0.195	sub-DMR
chr1	214158	214159	23	0.1007	sub-DMR
chr1	214165	214166	33	0.1419	sub-DMR
chr1	214265	214266	23	0.1627	sub-DMR
chr1	214365	214366	35	0.1917	sub-DMR
chr1	214427	214428	20	0.0005	sub-DMR
chr1	214527	214528	30	0.0465	sub-DMR
chr1	214621	214622	27	0.1134	sub-DMR
chr1	214735	214736	28	0.2349	flank-DMR
chr1	214795	214796	21	0.0908	flank-DMR
chr1	214837	214838	31	0.1076	flank-DMR
chr1	214863	214864	28	0.2161	flank-DMR
chr1	214873	214874	32	0.131	flank-DMR
chr1	214887	214888	29	0.096	flank-DMR
chr1	215053	215054	28	0.1467	flank-DMR
chr1	215117	215118	31	0.0819	flank-DMR
chr1	215119	215120	28	0.1737	flank-DMR
