chr	start	end	coverage	methylation_level
chr1	100047	100048	6	0.5124
chr1	100074	100075	4	0.0792
chr1	100089	100090	5	0.201
chr1	100109	100110	4	0.1275
chr1	100159	100160	4	0.1851
chr1	100209	100210	4	0.2252
chr1	100224	100225	6	0.2714
chr1	100268	100269	4	0.1838
chr1	100318	100319	5	0.3059
chr1	100333	100334	5	0.2292
chr1	100359	100360	5	0.4719
chr1	100374	100375	4	0.1378
chr1	100393	100394	4	0.195
chr1	100422	100423	4	0.3162
chr1	100443	100444	4	0.0902
chr1	100471	100472	3	0.3187
chr1	100498	100499	4	0.1801
chr1	100522	100523	4	0.2503
chr1	100540	100541	3	0.352
chr1	100637	100638	4	0.2999
chr1	100737	100738	5	0.1151
chr1	100813	100814	4	0.2194
chr1	100913	100914	4	0.1977
chr1	101013	101014	4	0.2995
chr1	101041	101042	5	0.047
chr1	101078	101079	4	0.686
chr1	101128	101129	5	0.0948
chr1	101178	101179	4	0.7534
chr1	101228	101229	3	0.4215
chr1	101251	101252	4	0.862
chr1	101266	101267	5	0.4996
chr1	101287	101288	4	0.696
chr1	101334	101335	4	0.3552
chr1	101382	101383	4	0.3117
chr1	101407	101408	3	0.4431
chr1	101425	101426	4	0.8601
chr1	101449	101450	6	0.4386
chr1	101464	101465	5	0.0
chr1	101465	101466	4	0.722
chr1	101515	101516	3	0.282
chr1	101615	101616	5	0.1932
chr1	101712	101713	4	0.6825
chr1	101792	101793	5	0.206
chr1	101882	101883	5	0.2329
chr1	101890	101891	4	0.0
chr1	101910	101911	5	0.7906
chr1	101959	101960	5	0.7042
chr1	101991	101992	6	0.8339
chr1	102023	102024	6	0.795
chr1	102073	102074	5	0.725
chr1	102088	102089	7	0.7167
chr1	102138	102139	5	0.6938
chr1	102185	102186	3	0.663
chr1	102206	102207	2	0.7287
chr1	102256	102257	5	0.8838
chr1	102306	102307	6	0.6988
chr1	102321	102322	6	0.5953
chr1	102343	102344	3	0.8652
chr1	102367	102368	5	0.6731
chr1	102375	102376	5	0.8283
chr1	102463	102464	3	0.7927
chr1	102563	102564	3	0.8003
chr1	102663	102664	3	0.7462
chr1	102763	102764	4	0.773
chr1	102811	102812	6	0.7208
chr1	102849	102850	5	0.8795
chr1	102859	102860	4	0.5714
chr1	102897	102898	2	0.5213
chr1	102928	102929	5	0.5036
chr1	102949	102950	4	0.3843
chr1	102999	103000	4	0.4257
chr1	103014	103015	3	0.4386
chr1	103064	103065	6	0.4708
chr1	103094	103095	3	0.4309
chr1	103132	103133	4	0.5241
chr1	103165	103166	5	0.6026
chr1	103180	103181	5	0.6296
chr1	103203	103204	6	0.6746
chr1	103226	103227	4	0.4627
chr1	103250	103251	4	0.4911
chr1	103272	103273	6	0.5567
chr1	103294	103295	3	0.4447
chr1	103344	103345	4	0.6747
chr1	103346	103347	4	0.4634
chr1	103441	103442	3	0.4658
chr1	103541	103542	5	0.5078
chr1	103641	103642	4	0.5383
