chr	start	end	CpG_count	treatment_methylation	control_methylation	mean_delta_methylation	category
chr1	100005	101038	25	0.61	0.858	-0.248	good-DMR
chr1	101386	102134	18	0.373	0.136	0.237	good-DMR
chr1	102636	103563	21	0.266	0.228	0.038	non-DMR
chr1	103612	104467	19	0.753	0.795	-0.042	non-DMR
chr1	104607	105668	27	0.616	0.658	-0.042	non-DMR
chr1	105768	106655	20	0.452	0.707	-0.255	good-DMR
chr1	107168	108328	25	0.743	0.778	-0.035	non-DMR
chr1	108431	109517	25	0.742	0.783	-0.041	non-DMR
chr1	109613	110608	27	0.826	0.864	-0.037	non-DMR
chr1	110716	111893	27	0.786	0.834	-0.048	non-DMR
chr1	111995	112822	18	0.107	0.077	0.03	non-DMR
chr1	112928	113940	25	0.302	0.141	0.162	good-DMR
chr1	114437	115392	24	0.674	0.71	-0.036	non-DMR
chr1	115491	116608	24	0.585	0.542	0.044	non-DMR
chr1	116676	117701	23	0.626	0.668	-0.043	non-DMR
chr1	117750	118631	20	0.503	0.769	-0.266	good-DMR
chr1	119053	120036	25	0.128	0.088	0.04	non-DMR
chr1	120134	121010	19	0.731	0.766	-0.035	non-DMR
chr1	121125	122010	21	0.563	0.6	-0.037	non-DMR
chr1	122089	122931	21	0.207	0.165	0.041	non-DMR
chr1	122972	123929	25	0.329	0.095	0.234	good-DMR
chr1	124435	125408	25	0.627	0.668	-0.041	non-DMR
chr1	125496	126522	25	0.679	0.724	-0.045	non-DMR
chr1	126645	127506	20	0.593	0.635	-0.042	non-DMR
chr1	127533	128655	28	0.331	0.6	-0.27	good-DMR
chr1	129187	130135	24	0.581	0.583	-0.002	inconsistent-DMR
chr1	130266	131255	24	0.497	0.537	-0.04	non-DMR
chr1	131334	132239	23	0.43	0.704	-0.274	notable-DMR
chr1	132345	133182	18	0.832	0.869	-0.037	non-DMR
chr1	133250	134148	21	0.566	0.863	-0.297	good-DMR
chr1	134622	135643	26	0.161	0.056	0.104	sub-DMR
chr1	136057	137306	30	0.639	0.832	-0.193	good-DMR
chr1	137831	138668	16	0.651	0.692	-0.041	non-DMR
chr1	138760	139747	23	0.614	0.658	-0.044	non-DMR
chr1	139855	140785	23	0.737	0.781	-0.044	non-DMR
chr1	140821	141829	21	0.3	0.065	0.236	good-DMR
chr1	142203	143231	28	0.667	0.709	-0.042	non-DMR
chr1	143253	144272	22	0.446	0.124	0.322	good-DMR
chr1	144773	145820	25	0.769	0.879	-0.109	sub-DMR
chr1	146295	147286	23	0.725	0.767	-0.042	non-DMR
chr1	147409	148305	21	0.782	0.823	-0.041	non-DMR
chr1	148399	149305	20	0.682	0.936	-0.254	notable-DMR
chr1	149416	150367	24	0.628	0.663	-0.035	non-DMR
chr1	150457	151722	33	0.546	0.748	-0.202	good-DMR
chr1	152158	153067	22	0.111	0.069	0.041	non-DMR
chr1	153112	154028	23	0.129	0.08	0.049	non-DMR
chr1	154063	155006	25	0.47	0.171	0.299	good-DMR
chr1	155239	156127	21	0.784	0.83	-0.046	non-DMR
chr1	156218	157195	22	0.658	0.706	-0.048	non-DMR
chr1	157281	158365	26	0.689	0.732	-0.043	non-DMR
chr1	158433	159246	21	0.716	0.734	-0.018	inconsistent-DMR
chr1	159419	160548	27	0.689	0.701	-0.012	inconsistent-DMR
chr1	160625	161862	31	0.121	0.077	0.044	non-DMR
chr1	161929	162794	19	0.239	0.193	0.045	non-DMR
chr1	162904	163937	27	0.736	0.777	-0.041	non-DMR
chr1	163964	165038	26	0.458	0.824	-0.366	good-DMR
chr1	165563	166504	19	0.563	0.609	-0.046	non-DMR
chr1	166616	167477	21	0.825	0.863	-0.038	non-DMR
chr1	167562	168301	17	0.83	0.873	-0.043	non-DMR
chr1	168406	169254	25	0.369	0.573	-0.204	good-DMR
chr1	169734	170504	18	0.659	0.859	-0.2	good-DMR
chr1	171029	171978	26	0.648	0.681	-0.034	non-DMR
chr1	172020	173125	27	0.65	0.755	-0.105	sub-DMR
chr1	173630	174432	20	0.222	0.184	0.038	non-DMR
chr1	174503	175431	23	0.503	0.739	-0.236	good-DMR
chr1	175933	176977	27	0.643	0.679	-0.037	non-DMR
chr1	177091	178134	27	0.148	0.103	0.045	non-DMR
chr1	178266	179076	20	0.128	0.097	0.031	non-DMR
chr1	179140	180195	25	0.805	0.836	-0.031	non-DMR
chr1	180229	181096	23	0.56	0.799	-0.239	good-DMR
chr1	181567	182593	24	0.677	0.925	-0.248	good-DMR
chr1	183082	184152	25	0.665	0.845	-0.18	good-DMR
chr1	184510	185573	24	0.859	0.903	-0.044	non-DMR
chr1	185623	186707	25	0.622	0.656	-0.034	non-DMR
chr1	186793	187660	22	0.78	0.822	-0.041	non-DMR
chr1	187693	188710	26	0.648	0.684	-0.036	non-DMR
chr1	188823	189811	24	0.902	0.942	-0.04	non-DMR
chr1	189867	190769	24	0.119	0.084	0.035	non-DMR
chr1	190853	191925	25	0.698	0.734	-0.037	non-DMR
chr1	191957	192958	24	0.595	0.865	-0.27	good-DMR
chr1	193421	194357	26	0.693	0.732	-0.039	non-DMR
chr1	194453	195528	24	0.626	0.865	-0.239	good-DMR
chr1	195965	196816	21	0.894	0.939	-0.045	non-DMR
chr1	196949	197951	22	0.711	0.755	-0.045	non-DMR
chr1	197999	199162	25	0.763	0.808	-0.045	non-DMR
chr1	199196	200275	25	0.447	0.159	0.288	good-DMR
chr1	200756	201798	23	0.517	0.755	-0.238	good-DMR
chr1	202332	203290	23	0.768	0.805	-0.038	non-DMR
chr1	203428	204423	23	0.86	0.901	-0.041	non-DMR
