chromosome	start	end	count	lethal_mean	normal_mean	delta	F	pvalue	p_adj	DMR
chr21	9483663	9483707	8	0.6622	0.9365	0.2743	15.6171	0.0002254	0.0004631	True
chr21	9483733	9483773	6	0.8139	0.4384	-0.3755	16.7424	0.0004268	0.0007416	True
chr21	9829860	9830248	6	0.3633	0.8648	0.5015	33.9928	0.0001241	0.0002932	True
chr21	9835083	9835256	5	0.4458	0.9378	0.4919	19.0875	0.0002823	0.0005483	True
chr21	9878998	9879054	5	0.3236	0.7343	0.4106	77.5941	2.152e-06	1.406e-05	True
chr21	9879172	9879239	7	0.5782	0.9705	0.3923	83.6741	7.767e-07	6.244e-06	True
chr21	10535214	10535256	5	0.4458	0.9157	0.4699	24.3934	0.0006964	0.001074	True
chr21	10599461	10599619	10	0.7101	0.8952	0.1851	16.5032	0.0007545	0.001147	True
chr21	10602141	10602258	6	0.3724	0.6576	0.2852	20.0647	0.001122	0.001584	True
chr21	10742410	10742543	5	0.5733	0.9626	0.3893	39.0857	7.496e-05	0.0002039	True
chr21	10773976	10774296	5	0.417	0.7014	0.2844	22.9736	0.001158	0.001622	True
chr21	10775973	10776363	7	0.2781	0.5347	0.2567	17.7923	0.0005932	0.0009554	True
chr21	10778248	10778683	5	0.2955	0.5688	0.2732	15.3949	0.004313	0.004948	True
chr21	10783559	10783694	7	0.6274	0.9549	0.3275	19.1861	3.805e-05	0.000122	True
chr21	10804481	10805051	9	0.452	0.8959	0.4439	18.5219	2.918e-05	0.0001001	True
chr21	10809699	10809775	6	0.6081	0.818	0.2099	19.3622	0.001483	0.00198	True
chr21	10816875	10817015	5	0.3049	0.5758	0.271	22.8137	0.001111	0.001574	True
chr21	10827680	10827916	5	0.4756	0.9411	0.4655	17.2747	0.0004938	0.0008255	True
chr21	10828561	10828701	6	0.5783	0.8375	0.2592	17.8381	0.001436	0.001931	True
chr21	10836969	10837169	7	0.4966	0.9284	0.4318	20.7207	7.44e-05	0.0002028	True
chr21	10838381	10838551	7	0.4301	0.8908	0.4606	16.4276	0.0002305	0.0004704	True
chr21	10842168	10842219	6	0.7173	0.947	0.2297	19.6042	0.00135	0.001844	True
chr21	10850680	10850800	6	0.4585	0.8322	0.3737	21.2103	0.0001773	0.0003828	True
chr21	10852977	10853251	5	0.175	0.6758	0.5007	25.2247	0.001762	0.002292	True
chr21	10895544	10895569	5	0.6713	0.8296	0.1584	40.5038	0.00137	0.001866	True
chr21	10899597	10899960	5	0.1907	0.8072	0.6165	33.9667	0.0008189	0.001221	True
chr21	10991412	10991539	5	0.7648	0.9654	0.2006	46.8883	0.0005559	0.0009088	True
chr21	11034461	11034597	5	0.386	0.7468	0.3608	23.5956	0.001145	0.001609	True
chr21	11070142	11070381	5	0.4897	0.9045	0.4148	19.7668	0.0009271	0.001353	True
chr21	11098207	11098453	8	0.7809	0.9844	0.2035	55.327	5.743e-07	4.916e-06	True
chr21	11098692	11098794	7	0.5985	0.8344	0.2358	22.9476	0.001695	0.002219	True
chr21	11168758	11168805	5	0.5759	0.9044	0.3285	16.1369	0.005227	0.005868	True
chr21	14344390	14344529	5	0.5816	0.9252	0.3436	19.167	0.001793	0.002324	True
chr21	14410350	14410460	8	0.6415	0.898	0.2565	28.5147	0.0001491	0.0003376	True
chr21	14410868	14410908	5	0.5478	0.9316	0.3838	44.3666	0.0003923	0.0006976	True
chr21	14737762	14738610	5	0.544	0.9483	0.4042	51.4132	0.0001391	0.0003186	True
chr21	14783682	14783796	5	0.6901	0.9524	0.2624	27.9859	0.0008494	0.001258	True
chr21	14887673	14888212	5	0.5084	0.9186	0.4102	16.7121	0.0007959	0.001194	True
chr21	15307514	15307618	5	0.7903	0.9967	0.2063	191.8774	3.5e-08	4.901e-07	True
chr21	15308793	15308999	12	0.8454	0.9754	0.13	22.6948	3.039e-06	1.862e-05	True
chr21	15309101	15309634	7	0.7892	0.9958	0.2067	215.5551	1.238e-10	3.421e-09	True
chr21	15352848	15352886	5	0.5933	0.197	-0.3963	15.059	0.004399	0.005038	True
chr21	15352901	15352986	5	0.7339	0.3118	-0.4221	16.9042	0.00096	0.001394	True
chr21	15380112	15380395	5	0.7521	0.9918	0.2397	59.536	3.92e-06	2.261e-05	True
chr21	15426095	15426298	5	0.9049	0.9833	0.0784	31.446	0.00689	0.00751	True
chr21	15436055	15436091	5	0.7194	0.8889	0.1695	25.0029	0.02907	0.02933	True
chr21	15436657	15436720	6	0.9371	0.5621	-0.375	21.7841	0.0001507	0.00034	True
chr21	15443794	15444133	18	0.8608	0.9694	0.1086	24.7804	1.27e-06	9.21e-06	True
chr21	15444373	15444438	7	0.7978	0.9403	0.1425	51.978	2.947e-05	0.0001006	True
chr21	15444843	15445454	34	0.8276	0.9606	0.1331	15.961	3.495e-11	1.084e-09	True
chr21	15445504	15445593	6	0.763	0.9231	0.1601	18.1144	0.006319	0.006963	True
chr21	15445643	15445794	9	0.7868	0.9319	0.1451	17.0915	0.0009874	0.001428	True
chr21	15445844	15446010	5	0.8544	0.9686	0.1141	22.9431	0.007095	0.007713	True
chr21	15446450	15446574	8	0.7907	0.9856	0.1949	29.5301	1.355e-06	9.713e-06	True
chr21	15447011	15447176	5	0.8727	0.9882	0.1155	51.8317	0.0002322	0.0004731	True
chr21	15447401	15447796	15	0.8168	0.9784	0.1616	31.583	3.27e-09	6.023e-08	True
chr21	15447913	15448297	13	0.8087	0.9653	0.1566	23.5141	1.073e-06	8.068e-06	True
