chr	start	end	coverage	methylation_level
chr1	100000	100001	30	0.4595
chr1	100498	100499	31	0.6851
chr1	100915	100916	31	0.5662
chr1	101005	101006	31	0.6337
chr1	109610	109611	26	0.3197
chr1	109679	109680	35	0.329
chr1	109784	109785	28	0.4212
chr1	110139	110140	34	0.3151
chr1	111833	111834	29	0.3828
chr1	111862	111863	34	0.4314
chr1	111864	111865	31	0.7724
chr1	111899	111900	31	0.4368
chr1	114313	114314	37	0.0506
chr1	114740	114741	28	0.2496
chr1	115208	115209	36	0.1865
chr1	121699	121700	27	0.5249
chr1	121957	121958	32	0.3057
chr1	122201	122202	34	0.4177
chr1	125700	125701	28	0.5472
chr1	125703	125704	31	0.5579
chr1	125744	125745	23	0.5375
chr1	125755	125756	23	0.6617
chr1	127337	127338	28	0.2399
chr1	127352	127353	30	0.3196
chr1	127429	127430	24	0.3398
chr1	129602	129603	32	0.2093
chr1	130034	130035	24	0.2405
chr1	130451	130452	23	0.2812
chr1	131228	131229	27	0.3297
chr1	131653	131654	26	0.5564
chr1	131970	131971	33	0.4577
chr1	132158	132159	24	0.6462
chr1	134051	134052	31	0.2698
chr1	134348	134349	30	0.3331
chr1	134636	134637	24	0.1884
chr1	134909	134910	31	0.1719
chr1	136165	136166	33	0.1802
chr1	136259	136260	28	0.2852
chr1	136451	136452	35	0.2174
chr1	136731	136732	32	0.2882
chr1	136843	136844	27	0.243
chr1	136989	136990	26	0.1654
chr1	138761	138762	33	0.4324
chr1	139549	139550	25	0.2861
chr1	139682	139683	35	0.5196
chr1	141558	141559	34	0.6745
chr1	141751	141752	31	0.6552
chr1	142106	142107	25	0.6222
chr1	142335	142336	24	0.7286
chr1	142389	142390	28	0.7254
chr1	143951	143952	26	0.815
chr1	143969	143970	24	0.7567
chr1	143985	143986	27	0.6441
chr1	143994	143995	26	0.4571
chr1	160635	160636	33	0.8884
chr1	160692	160693	29	0.7743
chr1	160877	160878	20	0.6934
chr1	161201	161202	28	0.7304
chr1	161282	161283	25	0.7143
chr1	161390	161391	31	0.5342
chr1	163124	163125	25	0.3182
chr1	163364	163365	27	0.7358
chr1	163469	163470	28	0.4041
chr1	163864	163865	26	0.5894
chr1	169714	169715	29	0.4719
chr1	169877	169878	30	0.6924
chr1	170241	170242	25	0.5187
chr1	170313	170314	28	0.5672
chr1	170735	170736	32	0.5364
chr1	177572	177573	31	0.3778
chr1	177575	177576	30	0.3074
chr1	177612	177613	24	0.2629
chr1	180237	180238	34	0.3572
chr1	180614	180615	29	0.6254
chr1	180877	180878	31	0.2783
chr1	181075	181076	23	0.5122
chr1	182108	182109	33	0.2694
chr1	182245	182246	28	0.146
chr1	182705	182706	31	0.1987
chr1	183071	183072	28	0.5489
chr1	189232	189233	21	0.7331
chr1	189507	189508	29	0.9989
chr1	189793	189794	26	0.501
chr1	189987	189988	36	0.3926
chr1	190136	190137	27	0.9251
chr1	190990	190991	29	0.4234
chr1	191110	191111	28	0.3048
chr1	191606	191607	31	0.4246
chr1	191784	191785	25	0.0849
chr1	192626	192627	35	0.5336
chr1	192821	192822	32	0.6998
chr1	192913	192914	34	0.6599
chr1	193353	193354	36	0.4395
chr1	194630	194631	35	0.3658
chr1	195105	195106	29	0.0867
chr1	195378	195379	27	0.2392
chr1	195439	195440	27	0.3639
chr1	196498	196499	30	0.1732
chr1	196545	196546	32	0.0837
chr1	196588	196589	34	0.3079
chr1	196611	196612	35	0.1356
chr1	198042	198043	30	0.5022
chr1	198739	198740	38	0.5626
chr1	199001	199002	33	0.5406
chr1	200983	200984	26	0.393
chr1	201073	201074	29	0.3438
chr1	201132	201133	35	0.1566
chr1	201313	201314	31	0.334
chr1	203040	203041	28	0.5116
chr1	203462	203463	23	0.3421
chr1	203823	203824	33	0.3118
chr1	210683	210684	30	0.3758
chr1	210860	210861	29	0.3571
chr1	210968	210969	29	0.2859
