chr	start	end	coverage	methylation_level
chr1	100000	100001	36	0.4448
chr1	100498	100499	19	0.6601
chr1	100915	100916	41	0.6045
chr1	101005	101006	30	0.7081
chr1	109610	109611	19	0.3565
chr1	109679	109680	27	0.234
chr1	109784	109785	32	0.3513
chr1	110139	110140	32	0.3316
chr1	111833	111834	31	0.3496
chr1	111862	111863	27	0.3991
chr1	111864	111865	28	0.76
chr1	111899	111900	32	0.4616
chr1	114313	114314	26	0.0819
chr1	114740	114741	31	0.1957
chr1	115133	115134	17	0.1274
chr1	115208	115209	23	0.2535
chr1	121699	121700	20	0.4906
chr1	121774	121775	31	0.3538
chr1	121957	121958	31	0.3461
chr1	122201	122202	31	0.3696
chr1	125700	125701	26	0.5747
chr1	125703	125704	27	0.5129
chr1	125744	125745	26	0.5652
chr1	125755	125756	32	0.5935
chr1	127337	127338	29	0.2563
chr1	127352	127353	27	0.2887
chr1	127429	127430	34	0.4163
chr1	129602	129603	31	0.198
chr1	130034	130035	30	0.2188
chr1	130451	130452	40	0.2559
chr1	131228	131229	34	0.3052
chr1	131653	131654	27	0.6226
chr1	131970	131971	26	0.4246
chr1	132158	132159	17	0.6708
chr1	134051	134052	30	0.3146
chr1	134348	134349	27	0.3062
chr1	134909	134910	28	0.2647
chr1	136165	136166	24	0.2511
chr1	136259	136260	36	0.2957
chr1	136451	136452	31	0.2418
chr1	136731	136732	27	0.2572
chr1	136843	136844	21	0.1988
chr1	136989	136990	26	0.142
chr1	138761	138762	22	0.4124
chr1	139064	139065	24	0.208
chr1	139549	139550	37	0.3072
chr1	139682	139683	28	0.4541
chr1	141334	141335	23	0.8727
chr1	141558	141559	31	0.6242
chr1	141751	141752	27	0.6255
chr1	142106	142107	31	0.6884
chr1	142335	142336	23	0.6958
chr1	142389	142390	17	0.6827
chr1	143951	143952	22	0.7921
chr1	143969	143970	23	0.6872
chr1	143985	143986	35	0.7144
chr1	143994	143995	24	0.4783
chr1	160635	160636	26	0.8291
chr1	160692	160693	31	0.8029
chr1	160877	160878	29	0.7102
chr1	161201	161202	24	0.7058
chr1	161282	161283	25	0.6715
chr1	161390	161391	25	0.5727
chr1	163124	163125	33	0.3324
chr1	163364	163365	34	0.7123
chr1	163469	163470	26	0.3565
chr1	163864	163865	29	0.5923
chr1	169714	169715	26	0.4012
chr1	169877	169878	35	0.7392
chr1	170313	170314	28	0.5822
chr1	170735	170736	19	0.5478
chr1	177572	177573	27	0.4224
chr1	177575	177576	27	0.2888
chr1	177612	177613	35	0.2661
chr1	180237	180238	26	0.2891
chr1	180614	180615	34	0.6286
chr1	180877	180878	32	0.3075
chr1	181075	181076	29	0.5197
chr1	182108	182109	37	0.3092
chr1	182245	182246	28	0.0714
chr1	182705	182706	32	0.1867
chr1	183071	183072	42	0.4848
chr1	189232	189233	23	0.3593
chr1	189507	189508	24	0.6778
chr1	189793	189794	30	0.0103
chr1	189987	189988	30	0.9221
chr1	190136	190137	31	0.4304
chr1	190990	190991	30	0.4468
chr1	191110	191111	32	0.346
chr1	191606	191607	27	0.4015
chr1	191784	191785	29	0.1556
chr1	192626	192627	25	0.4353
chr1	192821	192822	27	0.7005
chr1	192913	192914	26	0.6665
chr1	193353	193354	26	0.4521
chr1	194630	194631	22	0.2894
chr1	195105	195106	35	0.1468
chr1	195378	195379	27	0.3472
chr1	195439	195440	30	0.3759
chr1	196498	196499	27	0.1821
chr1	196545	196546	22	0.1012
chr1	196588	196589	32	0.2978
chr1	196611	196612	26	0.0938
chr1	198042	198043	22	0.4581
