chr	pos	meth_level	coverage
chr1	100000	0.664	34
chr1	100498	0.3385	23
chr1	100915	0.6791	21
chr1	101005	0.5866	35
chr1	109610	0.4719	26
chr1	109679	0.4837	20
chr1	109784	0.3357	31
chr1	110139	0.4117	33
chr1	111833	0.4802	27
chr1	111862	0.4475	30
chr1	111864	0.7166	26
chr1	111899	0.5213	32
chr1	114313	0.346	28
chr1	114740	0.313	32
chr1	115208	0.1401	36
chr1	121699	0.4512	34
chr1	121774	0.3007	23
chr1	121957	0.0981	30
chr1	122201	0.5592	34
chr1	125700	0.6178	31
chr1	125703	0.6216	24
chr1	125744	0.6079	34
chr1	125755	0.5164	27
chr1	127337	0.1278	47
chr1	127352	0.2963	31
chr1	127383	0.132	34
chr1	127429	0.3111	38
chr1	129602	0.1527	29
chr1	130034	0.2995	34
chr1	130451	0.2355	29
chr1	131228	0.5457	33
chr1	131653	0.5726	27
chr1	131970	0.3882	28
chr1	132158	0.3828	28
chr1	134051	0.2172	26
chr1	134348	0.4441	27
chr1	134636	0.3021	33
chr1	134909	0.2916	24
chr1	136165	0.3746	34
chr1	136259	0.1942	26
chr1	136451	0.2271	36
chr1	136731	0.2373	31
chr1	136843	0.2429	29
chr1	136989	0.3238	35
chr1	138761	0.2608	38
chr1	139064	0.2708	33
chr1	139549	0.2331	38
chr1	139682	0.3664	27
chr1	141334	1.0	34
chr1	141558	1.0	23
chr1	141751	0.0	27
chr1	142106	1.0	31
chr1	142335	1.0	24
chr1	142389	1.0	31
chr1	143951	0.6755	34
chr1	143985	0.6664	28
chr1	143994	0.5553	33
chr1	160635	1.0	24
chr1	160692	1.0	29
chr1	160877	1.0	32
chr1	161201	1.0	30
chr1	161282	1.0	21
chr1	161390	1.0	31
chr1	163124	0.3297	28
chr1	163364	0.3838	32
chr1	163469	0.4545	34
chr1	163864	0.6585	34
chr1	169714	0.4823	20
chr1	169877	0.5135	30
chr1	170241	0.6248	30
chr1	170313	0.5881	26
chr1	170735	0.7191	34
chr1	177572	0.3051	26
chr1	177575	0.4615	28
chr1	177606	0.3417	27
chr1	177612	0.2111	31
chr1	180237	0.7051	35
chr1	180614	0.4246	29
chr1	180877	0.364	26
chr1	181075	0.5522	29
chr1	182108	0.1501	24
chr1	182245	0.2668	23
chr1	182705	0.1975	30
chr1	183071	0.4774	37
chr1	189232	1.0	22
chr1	189507	0.0	24
chr1	189793	0.0	34
chr1	189987	1.0	33
chr1	190136	0.0	33
chr1	190990	0.2562	32
chr1	191110	0.2912	32
chr1	191606	0.3314	33
chr1	191784	0.5204	24
chr1	192626	0.3137	24
chr1	192821	0.6175	29
chr1	192913	0.7088	31
chr1	193353	0.5445	35
chr1	194630	0.2472	37
chr1	195105	0.1252	31
chr1	195378	0.2272	24
chr1	195439	0.3028	30
chr1	196498	0.2858	23
chr1	196545	0.1675	26
chr1	196588	0.1594	21
chr1	196611	0.2385	30
chr1	198042	0.5241	26
chr1	198333	0.4692	33
chr1	198739	0.5711	26
chr1	199001	0.5022	27
chr1	200983	0.4411	25
chr1	201073	0.5435	25
chr1	201132	0.294	33
chr1	201313	0.3505	23
chr1	203040	0.5448	29
chr1	203462	0.2675	23
chr1	203823	0.3871	33
chr1	203940	0.4608	25
chr1	210683	0.5186	29
chr1	210860	0.577	23
chr1	210968	0.4691	23
chr1	211031	0.6994	25
chr1	211457	0.5213	31
chr1	211554	0.7496	29
chr1	211635	0.5319	31
chr1	212381	0.3665	24
chr1	212682	0.3336	27
chr1	212834	0.2788	31
chr1	212946	0.3084	31
chr1	214060	0.6018	36
chr1	214475	0.8146	32
chr1	214752	0.751	14
chr1	214846	0.6503	29
chr1	215070	0.6177	19
chr1	216962	0.8797	33
chr1	216998	0.9157	34
chr1	217018	0.8279	35
chr1	217039	0.7797	28
chr1	217098	0.9842	26
chr1	217145	0.8445	22
chr1	217233	0.6809	37
chr1	217246	0.8977	23
chr1	217271	0.7966	37
chr1	217305	0.78	36
chr1	217321	0.7351	31
chr1	217330	0.9995	26
chr1	217344	0.7715	21
chr1	217354	0.8694	34
chr1	217371	0.807	33
chr1	217404	0.8465	35
chr1	217407	0.9314	36
chr1	217432	0.8978	22
chr1	217469	0.831	31
chr1	217507	0.6834	32
chr1	217563	0.9694	16
chr1	217600	0.9109	29
chr1	217610	0.8754	27
chr1	217651	0.863	39
chr1	217658	0.8083	31
chr1	217664	0.8439	36
chr1	217685	0.8081	31
chr1	217712	0.8415	33
chr1	217759	0.8942	30
chr1	217807	0.9097	25
