assembly	position	strand	class	mc	h
1	100000	+	CG	13	28
1	100498	+	CG	16	24
1	100915	+	CG	21	33
1	101005	+	CG	23	38
1	109610	+	CG	8	27
1	109679	+	CG	8	29
1	109784	+	CG	12	30
1	110139	+	CG	8	25
1	111833	+	CG	12	29
1	111862	+	CG	15	39
1	111864	+	CG	28	35
1	111899	+	CG	16	34
1	114313	+	CG	2	27
1	114740	+	CG	6	33
1	115133	+	CG	0	40
1	115208	+	CG	7	28
1	121699	+	CG	11	24
1	121774	+	CG	12	29
1	121957	+	CG	7	32
1	122201	+	CG	11	34
1	125700	+	CG	19	36
1	125703	+	CG	15	29
1	125744	+	CG	15	27
1	125755	+	CG	15	25
1	127337	+	CG	4	27
1	127352	+	CG	8	26
1	127383	+	CG	4	31
1	127429	+	CG	9	26
1	129602	+	CG	7	32
1	130034	+	CG	7	32
1	130451	+	CG	8	28
1	131228	+	CG	9	30
1	131653	+	CG	13	22
1	131970	+	CG	11	26
1	132158	+	CG	17	25
1	134051	+	CG	10	26
1	134348	+	CG	8	26
1	134636	+	CG	6	27
1	134909	+	CG	5	27
1	136165	+	CG	3	30
1	136259	+	CG	8	27
1	136451	+	CG	6	27
1	136731	+	CG	7	30
1	136843	+	CG	8	34
1	136989	+	CG	2	25
1	138761	+	CG	13	32
1	139549	+	CG	9	31
1	139682	+	CG	12	25
1	141334	+	CG	33	38
1	141558	+	CG	24	37
1	141751	+	CG	16	26
1	142106	+	CG	24	36
1	142389	+	CG	27	36
1	143951	+	CG	24	34
1	143969	+	CG	18	26
1	143985	+	CG	25	36
1	143994	+	CG	10	26
1	160635	+	CG	27	31
1	160692	+	CG	28	36
1	160877	+	CG	21	31
1	161201	+	CG	22	31
1	161282	+	CG	17	25
1	161390	+	CG	16	30
1	163124	+	CG	9	26
1	163364	+	CG	16	24
1	163469	+	CG	10	31
1	163864	+	CG	16	32
1	169714	+	CG	10	21
1	169877	+	CG	13	20
1	170241	+	CG	17	31
1	170313	+	CG	17	32
1	170735	+	CG	17	30
1	177572	+	CG	10	25
1	177575	+	CG	9	35
1	177606	+	CG	19	32
1	177612	+	CG	6	25
1	180237	+	CG	13	38
1	180614	+	CG	16	26
1	180877	+	CG	6	29
1	181075	+	CG	10	23
1	182108	+	CG	6	26
1	182245	+	CG	3	35
1	182705	+	CG	6	28
1	183071	+	CG	16	35
1	189232	+	CG	3	26
1	189507	+	CG	30	40
1	189793	+	CG	27	28
1	189987	+	CG	3	24
1	190990	+	CG	15	37
1	191110	+	CG	9	31
1	191606	+	CG	13	32
1	191784	+	CG	2	22
1	192626	+	CG	13	29
1	192913	+	CG	16	26
1	193353	+	CG	15	36
1	194630	+	CG	7	21
1	195105	+	CG	1	25
1	195378	+	CG	6	23
1	195439	+	CG	7	22
1	196498	+	CG	8	27
1	196545	+	CG	3	40
1	196588	+	CG	6	24
1	196611	+	CG	1	17
1	198042	+	CG	13	26
1	198333	+	CG	13	30
1	198739	+	CG	15	27
1	199001	+	CG	12	27
1	200983	+	CG	14	33
1	201073	+	CG	9	31
1	201132	+	CG	3	21
1	201313	+	CG	7	23
1	203040	+	CG	20	34
1	203462	+	CG	11	35
1	203823	+	CG	8	23
1	203940	+	CG	12	31
1	210683	+	CG	12	29
1	210860	+	CG	7	20
1	210968	+	CG	8	33
1	211031	+	CG	6	26
1	211554	+	CG	5	27
1	211635	+	CG	13	29
1	212381	+	CG	15	27
1	212682	+	CG	7	31
1	212834	+	CG	7	28
1	212946	+	CG	16	29
1	214060	+	CG	17	24
1	214475	+	CG	19	25
1	214752	+	CG	25	38
1	214846	+	CG	23	33
1	215070	+	CG	18	31
1	216962	+	CG	18	27
1	216998	+	CG	24	33
1	217018	+	CG	11	25
1	217039	+	CG	24	35
1	217051	+	CG	14	31
1	217098	+	CG	18	28
1	217145	+	CG	25	37
1	217191	+	CG	19	37
1	217233	+	CG	11	20
1	217246	+	CG	14	28
1	217271	+	CG	15	25
1	217305	+	CG	19	41
1	217321	+	CG	20	35
1	217330	+	CG	11	24
1	217344	+	CG	15	27
1	217354	+	CG	16	30
1	217404	+	CG	11	20
1	217407	+	CG	19	37
1	217432	+	CG	13	33
1	217469	+	CG	13	34
1	217507	+	CG	20	30
1	217563	+	CG	10	28
1	217600	+	CG	19	29
1	217610	+	CG	10	24
1	217651	+	CG	25	44
1	217658	+	CG	12	20
1	217664	+	CG	20	34
1	217712	+	CG	24	35
1	217759	+	CG	16	29
1	217807	+	CG	16	31
1	217839	+	CG	19	26
1	217874	+	CG	9	29
1	217902	+	CG	30	41
1	217930	+	CG	19	34
1	217968	+	CG	20	33
1	217974	+	CG	21	35
1	217984	+	CG	17	28
1	218006	+	CG	22	34
1	218018	+	CG	11	25
1	218020	+	CG	22	33
1	219080	+	CG	16	25
1	219395	+	CG	16	34
1	219590	+	CG	24	37
1	219748	+	CG	22	40
1	222887	+	CG	20	27
1	223359	+	CG	20	27
1	223851	+	CG	14	25
1	223908	+	CG	21	35
