chr	start	end	coverage	methylation_level
chr1	100022	100023	26	0.8233
chr1	100063	100064	31	0.9415
chr1	100110	100111	22	0.8218
chr1	100149	100150	29	0.8564
chr1	100191	100192	30	0.7882
chr1	100217	100218	20	0.9535
chr1	100237	100238	27	0.8372
chr1	100278	100279	21	0.8101
chr1	100293	100294	23	1.0
chr1	100336	100337	30	0.8317
chr1	100375	100376	40	0.7465
chr1	100397	100398	25	0.8535
chr1	100430	100431	25	0.8805
chr1	100451	100452	28	0.8877
chr1	100470	100471	31	0.9821
chr1	100518	100519	24	0.6777
chr1	100551	100552	25	0.9758
chr1	100601	100602	25	0.8615
chr1	100651	100652	35	0.8506
chr1	100657	100658	24	0.9482
chr1	100757	100758	35	1.0
chr1	100857	100858	35	0.7896
chr1	100907	100908	29	0.6618
chr1	100957	100958	39	0.7676
chr1	101049	101050	34	0.9576
chr1	101149	101150	23	0.9428
chr1	101249	101250	31	0.8049
chr1	101347	101348	39	0.8376
chr1	101353	101354	34	0.1306
chr1	101403	101404	25	0.0161
chr1	101445	101446	32	0.0554
chr1	101464	101465	29	0.0
chr1	101514	101515	22	0.0087
chr1	101534	101535	28	0.0373
chr1	101584	101585	27	0.1243
chr1	101633	101634	37	0.1629
chr1	101675	101676	27	0.0676
chr1	101725	101726	29	0.1315
chr1	101750	101751	29	0.2372
chr1	101781	101782	30	0.1617
chr1	101790	101791	12	0.0
chr1	101890	101891	32	0.0272
chr1	101990	101991	24	0.0
chr1	102040	102041	27	0.008
chr1	102090	102091	23	0.0308
chr1	102146	102147	35	0.0361
chr1	102158	102159	31	0.1122
chr1	102172	102173	24	0.0364
chr1	102260	102261	42	0.1551
chr1	102270	102271	32	0.058
chr1	102486	102487	31	0.0224
chr1	102500	102501	35	0.1345
chr1	102548	102549	34	0.0541
chr1	102632	102633	23	0.2398
chr1	102660	102661	31	0.9898
chr1	102703	102704	37	0.8629
chr1	102732	102733	30	0.8932
chr1	102769	102770	21	0.9266
chr1	102803	102804	38	0.7921
chr1	102830	102831	29	0.9793
chr1	102856	102857	29	0.7117
chr1	102906	102907	21	0.8132
chr1	102944	102945	34	0.912
chr1	102972	102973	30	0.8374
chr1	103017	103018	22	1.0
chr1	103058	103059	33	0.846
chr1	103079	103080	32	0.8294
chr1	103097	103098	21	0.8502
chr1	103122	103123	26	0.9467
chr1	103199	103200	30	0.8897
chr1	103299	103300	24	0.8638
chr1	103349	103350	32	0.8522
chr1	103404	103405	20	0.7241
chr1	103454	103455	27	0.7907
chr1	103521	103522	31	0.9808
chr1	103621	103622	28	0.8102
chr1	103665	103666	32	0.9038
chr1	103700	103701	21	0.5692
chr1	103718	103719	32	0.6368
chr1	103753	103754	30	0.8552
chr1	103770	103771	29	0.7674
chr1	103795	103796	34	0.8001
chr1	103829	103830	25	0.8205
chr1	103852	103853	25	0.7314
chr1	103870	103871	31	0.6536
chr1	103885	103886	27	0.7318
chr1	103930	103931	31	0.7708
chr1	103954	103955	23	0.8216
chr1	103994	103995	27	0.7618
chr1	104043	104044	31	0.6376
chr1	104064	104065	36	0.5877
chr1	104114	104115	23	0.5895
chr1	104141	104142	29	0.6242
chr1	104241	104242	26	0.7655
chr1	104341	104342	35	0.8478
chr1	104441	104442	32	0.7311
chr1	104495	104496	36	0.9501
chr1	104556	104557	29	0.8681
chr1	104578	104579	25	0.9419
chr1	104630	104631	25	0.9187
chr1	104636	104637	28	0.6577
chr1	104651	104652	25	0.8839
chr1	104695	104696	33	0.8234
chr1	104716	104717	35	0.9267
chr1	104742	104743	32	0.7527
chr1	104776	104777	29	0.7775
chr1	104808	104809	29	0.8512
chr1	104830	104831	30	0.7447
chr1	104880	104881	29	0.795
chr1	104913	104914	27	0.8378
chr1	104928	104929	30	0.7136
chr1	104965	104966	17	0.7495
chr1	104980	104981	33	0.79
chr1	105027	105028	30	0.7541
chr1	105064	105065	17	0.858
chr1	105114	105115	26	0.7913
chr1	105115	105116	25	0.86
chr1	105209	105210	34	0.8379
chr1	105309	105310	31	0.8098
chr1	105409	105410	30	0.7242
chr1	105509	105510	27	0.5938
chr1	105559	105560	32	0.7454
chr1	105595	105596	37	0.7847
chr1	105711	105712	25	0.8415
chr1	105739	105740	21	0.7786
chr1	105761	105762	25	0.6518
chr1	105783	105784	39	0.8552
chr1	105831	105832	21	0.8613
chr1	105871	105872	31	0.9163
chr1	105957	105958	26	0.7523
chr1	105987	105988	28	0.7257
chr1	106022	106023	28	1.0
chr1	106053	106054	38	0.9503
chr1	106073	106074	33	0.8422
chr1	106098	106099	33	0.9689
chr1	106122	106123	30	0.9122
chr1	106149	106150	32	0.8969
chr1	106166	106167	41	1.0
chr1	106181	106182	29	0.9118
chr1	106205	106206	23	0.901
chr1	106222	106223	30	0.8897
chr1	106250	106251	28	0.8402
chr1	106284	106285	30	0.8627
chr1	106315	106316	32	0.8202
chr1	106358	106359	31	1.0
chr1	106387	106388	33	0.9345
chr1	106411	106412	28	0.9651
chr1	106434	106435	36	0.9725
chr1	106466	106467	32	0.8211
chr1	106486	106487	25	0.9358
chr1	106515	106516	19	0.771
chr1	106575	106576	28	0.9105
chr1	106675	106676	30	0.9389
chr1	106775	106776	32	1.0
chr1	106875	106876	33	0.8589
chr1	106955	106956	19	0.913
chr1	107005	107006	24	0.9203
chr1	107099	107100	22	0.8706
chr1	107105	107106	25	0.8363
chr1	107154	107155	27	0.9816
chr1	107186	107187	26	0.877
chr1	107201	107202	37	0.8462
chr1	107251	107252	37	0.7305
chr1	107267	107268	27	0.8476
chr1	107317	107318	26	0.9543
chr1	107337	107338	24	0.7847
chr1	107379	107380	36	0.8742
chr1	107406	107407	30	0.8956
chr1	107421	107422	25	0.7177
chr1	107436	107437	30	0.8666
chr1	107460	107461	39	1.0
chr1	107496	107497	40	0.8464
