chr	start	end	methylation_level
chr1	100000	100001	0.4734
chr1	100498	100499	0.6876
chr1	100915	100916	0.6467
chr1	101005	101006	0.6096
chr1	109610	109611	0.3113
chr1	109679	109680	0.3042
chr1	109784	109785	0.4149
chr1	110139	110140	0.3258
chr1	111833	111834	0.4213
chr1	111862	111863	0.3919
chr1	111864	111865	0.8184
chr1	111899	111900	0.4775
chr1	114313	114314	0.1076
chr1	114740	114741	0.2045
chr1	115133	115134	0.0196
chr1	115208	115209	0.2627
chr1	121699	121700	0.4832
chr1	121774	121775	0.4172
chr1	121957	121958	0.2371
chr1	122201	122202	0.3334
chr1	125700	125701	0.5354
chr1	125703	125704	0.5268
chr1	125744	125745	0.5575
chr1	125755	125756	0.6376
chr1	127337	127338	0.1761
chr1	127352	127353	0.3129
chr1	127383	127384	0.1378
chr1	127429	127430	0.3698
chr1	129602	129603	0.2403
chr1	130034	130035	0.2472
chr1	130451	130452	0.3031
chr1	131228	131229	0.3094
chr1	131653	131654	0.6099
chr1	131970	131971	0.4316
chr1	132158	132159	0.6929
chr1	134051	134052	0.4159
chr1	134348	134349	0.34
chr1	134636	134637	0.2272
chr1	134909	134910	0.2128
chr1	136165	136166	0.1129
chr1	136259	136260	0.3109
chr1	136451	136452	0.2552
chr1	136731	136732	0.2371
chr1	136843	136844	0.2415
chr1	136989	136990	0.1187
chr1	138761	138762	0.4218
chr1	139549	139550	0.3013
chr1	139682	139683	0.4876
chr1	141334	141335	0.8843
chr1	141558	141559	0.6749
chr1	141751	141752	0.6417
chr1	142106	142107	0.6711
chr1	142389	142390	0.7634
chr1	143951	143952	0.7224
chr1	143969	143970	0.6986
chr1	143985	143986	0.6963
chr1	143994	143995	0.3949
chr1	160635	160636	0.8895
chr1	160692	160693	0.7962
chr1	160877	160878	0.6873
chr1	161201	161202	0.7353
chr1	161282	161283	0.7136
chr1	161390	161391	0.5409
chr1	163124	163125	0.3535
chr1	163364	163365	0.7037
chr1	163469	163470	0.3544
chr1	163864	163865	0.5288
chr1	169714	169715	0.4787
chr1	169877	169878	0.6944
chr1	170241	170242	0.5701
chr1	170313	170314	0.5482
chr1	170735	170736	0.5867
chr1	177572	177573	0.4173
chr1	177575	177576	0.2822
chr1	177606	177607	0.6025
chr1	177612	177613	0.2503
chr1	180237	180238	0.3551
chr1	180614	180615	0.6386
chr1	180877	180878	0.2396
chr1	181075	181076	0.476
chr1	182108	182109	0.2596
chr1	182245	182246	0.0979
chr1	182705	182706	0.2478
chr1	183071	183072	0.4827
chr1	189232	189233	0.1511
chr1	189507	189508	0.7721
chr1	189793	189794	0.9694
chr1	189987	189988	0.1405
chr1	190990	190991	0.4282
chr1	191110	191111	0.3059
chr1	191606	191607	0.4286
chr1	191784	191785	0.1142
chr1	192626	192627	0.4497
chr1	192913	192914	0.6426
chr1	193353	193354	0.4253
chr1	194630	194631	0.3677
chr1	195105	195106	0.0407
chr1	195378	195379	0.2609
chr1	195439	195440	0.3241
chr1	196498	196499	0.3075
chr1	196545	196546	0.0869
chr1	196588	196589	0.2755
chr1	196611	196612	0.1108
chr1	198042	198043	0.5202
chr1	198333	198334	0.4664
chr1	198739	198740	0.5576
chr1	199001	199002	0.4783
chr1	200983	200984	0.4243
chr1	201073	201074	0.3109
chr1	201132	201133	0.1538
chr1	201313	201314	0.329
chr1	203040	203041	0.5895
chr1	203462	203463	0.3305
chr1	203823	203824	0.3493
chr1	203940	203941	0.4094
chr1	210683	210684	0.4228
chr1	210860	210861	0.3988
chr1	210968	210969	0.2538
chr1	211031	211032	0.252
chr1	211554	211555	0.2013
chr1	211635	211636	0.4767
chr1	212381	212382	0.5733
chr1	212682	212683	0.255
chr1	212834	212835	0.256
chr1	212946	212947	0.5783
chr1	214060	214061	0.749
chr1	214475	214476	0.7969
chr1	214752	214753	0.6623
chr1	214846	214847	0.7163
chr1	215070	215071	0.581
chr1	216962	216963	0.6955
chr1	216998	216999	0.7278
chr1	217018	217019	0.4533
chr1	217039	217040	0.7019
chr1	217051	217052	0.4764
chr1	217098	217099	0.6565
chr1	217145	217146	0.6823
chr1	217191	217192	0.5172
chr1	217233	217234	0.5663
chr1	217246	217247	0.5186
chr1	217271	217272	0.6048
chr1	217305	217306	0.478
chr1	217321	217322	0.5755
chr1	217330	217331	0.4861
chr1	217344	217345	0.5765
chr1	217354	217355	0.5658
chr1	217404	217405	0.5541
chr1	217407	217408	0.52
chr1	217432	217433	0.3954
chr1	217469	217470	0.4082
chr1	217507	217508	0.6942
chr1	217563	217564	0.388
chr1	217600	217601	0.6839
chr1	217610	217611	0.4488
chr1	217651	217652	0.5822
chr1	217658	217659	0.627
chr1	217664	217665	0.5905
chr1	217712	217713	0.6936
chr1	217759	217760	0.5568
chr1	217807	217808	0.5403
chr1	217839	217840	0.7374
chr1	217874	217875	0.328
chr1	217902	217903	0.7359
chr1	217930	217931	0.577
chr1	217968	217969	0.6217
chr1	217974	217975	0.6197
chr1	217984	217985	0.6181
chr1	218006	218007	0.6763
chr1	218018	218019	0.4645
chr1	218020	218021	0.6876
chr1	219080	219081	0.6739
chr1	219395	219396	0.4864
chr1	219590	219591	0.6705
chr1	219748	219749	0.5554
chr1	222887	222888	0.7554
chr1	223359	223360	0.7698
chr1	223851	223852	0.5738
chr1	223908	223909	0.6175
chr1	223968	223969	0.6471
chr1	224018	224019	0.6718
chr1	225711	225712	0.3338
chr1	225749	225750	0.2059
chr1	225777	225778	0.292
chr1	225818	225819	0.4354
chr1	228221	228222	0.3265
chr1	228599	228600	0.3915
chr1	228803	228804	0.3546
chr1	229100	229101	0.5926
chr1	229181	229182	0.4157
chr1	230325	230326	0.6265
chr1	230455	230456	0.8451
chr1	230730	230731	0.8694
chr1	230992	230993	0.5761
chr1	231289	231290	0.8511
chr1	231368	231369	0.744
chr1	233126	233127	0.5751
chr1	233242	233243	0.4517
chr1	233681	233682	0.3758
chr1	233920	233921	0.5282
chr1	234002	234003	0.5529
chr1	245156	245157	0.4828
chr1	245398	245399	0.1767
chr1	245489	245490	0.3364
chr1	245888	245889	0.2132
chr1	246022	246023	0.2566
chr1	248705	248706	0.2555
chr1	248896	248897	0.3248
chr1	249042	249043	0.1242
chr1	249540	249541	0.2668
chr1	251676	251677	0.3459
chr1	251720	251721	0.3825
chr1	251748	251749	0.4892
chr1	251789	251790	0.3484
chr1	254918	254919	0.875
chr1	255363	255364	0.6872
chr1	255757	255758	0.8957
chr1	255817	255818	0.7896
chr1	262383	262384	0.6662
chr1	262462	262463	0.6858
chr1	262799	262800	0.7717
chr1	263060	263061	0.5711
chr1	264968	264969	0.8028
chr1	265451	265452	0.8215
chr1	265690	265691	0.796
chr1	265751	265752	0.7823
chr1	265809	265810	0.8846
chr1	271530	271531	0.7817
chr1	271969	271970	0.8259
chr1	272182	272183	0.7886
chr1	272284	272285	0.8006
chr1	272357	272358	0.8363
