chr	pos	strand	context	meth_count	coverage
1	100000	+	CG	16	33
1	100498	+	CG	21	30
1	100915	+	CG	14	24
1	101005	+	CG	18	30
1	109610	+	CG	8	28
1	109679	+	CG	9	31
1	109784	+	CG	14	34
1	110139	+	CG	12	35
1	111833	+	CG	13	34
1	111862	+	CG	13	30
1	111864	+	CG	24	32
1	111899	+	CG	14	31
1	114313	+	CG	6	35
1	114740	+	CG	7	30
1	115133	+	CG	0	26
1	115208	+	CG	6	24
1	121699	+	CG	16	33
1	121774	+	CG	10	26
1	121957	+	CG	10	38
1	122201	+	CG	12	29
1	125700	+	CG	16	31
1	125744	+	CG	18	31
1	125755	+	CG	22	37
1	127337	+	CG	4	23
1	127352	+	CG	8	30
1	127429	+	CG	9	24
1	129602	+	CG	6	36
1	130034	+	CG	9	37
1	130451	+	CG	9	31
1	131228	+	CG	11	36
1	131653	+	CG	25	39
1	131970	+	CG	16	36
1	132158	+	CG	24	35
1	134051	+	CG	10	32
1	134348	+	CG	12	34
1	134636	+	CG	5	27
1	134909	+	CG	7	40
1	136165	+	CG	5	29
1	136259	+	CG	9	29
1	136451	+	CG	5	21
1	136731	+	CG	8	32
1	136843	+	CG	5	25
1	136989	+	CG	3	29
1	138761	+	CG	6	16
1	139064	+	CG	6	26
1	139549	+	CG	11	33
1	139682	+	CG	14	28
1	141334	+	CG	28	32
1	141558	+	CG	22	35
1	141751	+	CG	21	36
1	142106	+	CG	16	27
1	142335	+	CG	15	21
1	142389	+	CG	24	30
1	143951	+	CG	23	33
1	143969	+	CG	23	31
1	143985	+	CG	17	27
1	143994	+	CG	16	35
1	160635	+	CG	24	28
1	160692	+	CG	27	33
1	160877	+	CG	26	38
1	161201	+	CG	18	26
1	161282	+	CG	16	26
1	161390	+	CG	16	32
1	163124	+	CG	7	23
1	163364	+	CG	18	25
1	163469	+	CG	13	36
1	163864	+	CG	14	30
1	169714	+	CG	11	26
1	169877	+	CG	17	24
1	170241	+	CG	15	27
1	170313	+	CG	14	24
1	170735	+	CG	11	22
1	177572	+	CG	10	32
1	177575	+	CG	9	29
1	177606	+	CG	22	34
1	177612	+	CG	5	31
1	180237	+	CG	10	32
1	180614	+	CG	23	35
1	180877	+	CG	9	30
1	181075	+	CG	13	28
1	182108	+	CG	8	33
1	182245	+	CG	2	23
1	182705	+	CG	5	25
1	183071	+	CG	12	25
1	189232	+	CG	31	32
1	189507	+	CG	15	30
1	189793	+	CG	14	33
1	189987	+	CG	3	27
1	190136	+	CG	27	31
1	190990	+	CG	16	37
1	191110	+	CG	8	31
1	191606	+	CG	10	27
1	191784	+	CG	2	32
1	192626	+	CG	15	30
1	192913	+	CG	22	33
1	193353	+	CG	11	31
1	194630	+	CG	12	35
1	195105	+	CG	1	28
1	195378	+	CG	12	41
1	195439	+	CG	10	35
1	196498	+	CG	7	32
1	196545	+	CG	3	32
1	196588	+	CG	7	28
1	196611	+	CG	3	27
1	198042	+	CG	16	34
1	198333	+	CG	10	19
1	198739	+	CG	8	16
1	199001	+	CG	17	37
1	200983	+	CG	10	27
1	201073	+	CG	10	31
1	201132	+	CG	6	34
1	201313	+	CG	9	27
1	203040	+	CG	8	16
1	203462	+	CG	6	19
1	203823	+	CG	7	18
1	203940	+	CG	10	25
1	210683	+	CG	11	30
1	210860	+	CG	8	23
1	210968	+	CG	9	35
1	211031	+	CG	7	33
1	211457	+	CG	8	27
1	211554	+	CG	5	31
1	211635	+	CG	14	34
1	212381	+	CG	16	30
1	212682	+	CG	9	32
1	212834	+	CG	7	25
1	212946	+	CG	9	20
1	214060	+	CG	19	26
1	214475	+	CG	22	30
1	214846	+	CG	14	22
1	215070	+	CG	17	29
1	216962	+	CG	30	41
1	216998	+	CG	24	35
1	217018	+	CG	12	28
1	217039	+	CG	20	28
1	217051	+	CG	18	35
1	217098	+	CG	15	25
1	217145	+	CG	17	29
1	217191	+	CG	14	25
1	217246	+	CG	10	22
1	217271	+	CG	21	34
1	217321	+	CG	13	32
1	217330	+	CG	16	32
1	217344	+	CG	12	23
1	217354	+	CG	25	40
1	217404	+	CG	15	28
1	217407	+	CG	14	29
1	217432	+	CG	13	34
1	217469	+	CG	16	33
1	217507	+	CG	19	30
1	217532	+	CG	7	21
1	217563	+	CG	10	30
1	217600	+	CG	14	24
1	217610	+	CG	11	29
1	217651	+	CG	15	28
1	217658	+	CG	18	29
1	217664	+	CG	11	22
1	217685	+	CG	18	37
1	217712	+	CG	22	31
1	217759	+	CG	15	30
1	217807	+	CG	19	36
1	217839	+	CG	28	41
1	217874	+	CG	14	37
1	217902	+	CG	17	25
1	217930	+	CG	15	25
1	217968	+	CG	22	34
1	217974	+	CG	13	21
1	217984	+	CG	20	37
1	218006	+	CG	14	26
1	218018	+	CG	9	24
1	218020	+	CG	23	35
1	218853	+	CG	18	25
1	219080	+	CG	28	37
1	219395	+	CG	14	26
1	219590	+	CG	20	30
1	219748	+	CG	14	28
1	222887	+	CG	30	37
1	223359	+	CG	15	21
1	223851	+	CG	14	25
1	223908	+	CG	12	23
1	223968	+	CG	21	29
1	224018	+	CG	19	29
1	225711	+	CG	5	24
1	225749	+	CG	6	31
1	225777	+	CG	7	29
1	225818	+	CG	13	33
1	228221	+	CG	11	35
1	228599	+	CG	9	29
1	228803	+	CG	11	33
1	229100	+	CG	20	34
1	229181	+	CG	10	32
1	230325	+	CG	15	23
1	230455	+	CG	24	29
1	230730	+	CG	20	26
1	230992	+	CG	19	34
1	231289	+	CG	22	26
1	231368	+	CG	21	27
