chr	start	end	coverage	methylation_level
chr1	216962	216963	34	0.7047
chr1	216998	216999	26	0.7127
chr1	217018	217019	35	0.488
chr1	217039	217040	29	0.6904
chr1	217051	217052	30	0.4918
chr1	217098	217099	26	0.6106
chr1	217145	217146	40	0.6724
chr1	217191	217192	27	0.5692
chr1	217233	217234	32	0.5588
chr1	217271	217272	23	0.6181
chr1	217321	217322	24	0.5142
chr1	217330	217331	26	0.5494
chr1	217344	217345	30	0.6033
chr1	217354	217355	30	0.5993
chr1	217371	217372	32	0.7563
chr1	217404	217405	31	0.5951
chr1	217407	217408	33	0.4682
chr1	217432	217433	35	0.3701
chr1	217469	217470	25	0.488
chr1	217507	217508	32	0.7225
chr1	217532	217533	31	0.3766
chr1	217563	217564	27	0.4356
chr1	217600	217601	26	0.6633
chr1	217610	217611	25	0.4636
chr1	217651	217652	32	0.5565
chr1	217658	217659	28	0.6195
chr1	217664	217665	23	0.6393
chr1	217712	217713	28	0.6717
chr1	217759	217760	39	0.588
chr1	217807	217808	36	0.5185
chr1	217839	217840	28	0.6629
chr1	217874	217875	27	0.3848
chr1	217902	217903	28	0.6846
chr1	217930	217931	22	0.5813
chr1	217968	217969	29	0.6714
chr1	217974	217975	27	0.6585
chr1	217984	217985	33	0.6141
chr1	218006	218007	27	0.5996
chr1	218018	218019	30	0.4388
chr1	218020	218021	30	0.6942
