chr	start	end	coverage	methylation_level	type
chr1	120134	120135	33	0.8441	non-DMR
chr1	120184	120185	35	0.6988	non-DMR
chr1	120225	120226	32	0.904	non-DMR
chr1	120256	120257	28	0.8531	non-DMR
chr1	120284	120285	25	0.7362	non-DMR
chr1	120333	120334	33	0.7042	non-DMR
chr1	120355	120356	28	0.5596	non-DMR
chr1	120370	120371	33	0.7022	non-DMR
chr1	120401	120402	30	0.678	non-DMR
chr1	120451	120452	30	0.8018	non-DMR
chr1	120501	120502	32	0.7122	non-DMR
chr1	120529	120530	22	0.8409	non-DMR
chr1	120560	120561	27	0.7428	non-DMR
chr1	120599	120600	36	0.6346	non-DMR
chr1	120615	120616	31	0.7015	non-DMR
chr1	120715	120716	23	0.7923	non-DMR
chr1	120810	120811	32	0.8187	non-DMR
chr1	120910	120911	34	0.8273	non-DMR
chr1	121010	121011	24	0.6537	non-DMR
chr1	121060	121061	19	0.8073	flank-DMR
chr1	121084	121085	32	0.8586	flank-DMR
