chr	start	end	coverage	methylation_level
chr1	100005	100006	25	0.5737	good-DMR
chr1	100046	100047	17	0.5232	good-DMR
chr1	100096	100097	31	0.6778	good-DMR
chr1	100123	100124	31	0.5907	good-DMR
chr1	100150	100151	26	0.5954	good-DMR
chr1	100200	100201	32	0.6294	good-DMR
chr1	100244	100245	40	0.705	good-DMR
chr1	100268	100269	34	0.6249	good-DMR
chr1	100307	100308	27	0.5119	good-DMR
chr1	100331	100332	31	0.534	good-DMR
chr1	100355	100356	27	0.6187	good-DMR
chr1	100389	100390	22	0.5519	good-DMR
chr1	100404	100405	24	0.6694	good-DMR
chr1	100419	100420	43	0.5324	good-DMR
chr1	100442	100443	29	0.5996	good-DMR
chr1	100460	100461	26	0.677	good-DMR
chr1	100495	100496	35	0.6666	good-DMR
chr1	100514	100515	26	0.5907	good-DMR
chr1	100529	100530	21	0.5174	good-DMR
chr1	100629	100630	30	0.7065	good-DMR
chr1	100716	100717	32	0.65	good-DMR
chr1	100816	100817	29	0.7197	good-DMR
chr1	100866	100867	27	0.6084	good-DMR
chr1	100938	100939	28	0.535	good-DMR
chr1	101038	101039	32	0.7417	good-DMR
chr1	101074	101075	18	0.993	flank-DMR
chr1	101182	101183	28	0.9954	flank-DMR
chr1	101194	101195	28	1.0	flank-DMR
chr1	101250	101251	26	0.6735	flank-DMR
chr1	101344	101345	35	0.9118	flank-DMR
chr1	101380	101381	22	0.8098	flank-DMR
chr1	101386	101387	31	0.3982	good-DMR
chr1	101425	101426	30	0.3115	good-DMR
chr1	101464	101465	30	0.4712	good-DMR
chr1	101481	101482	30	0.365	good-DMR
chr1	101529	101530	26	0.4689	good-DMR
chr1	101544	101545	22	0.5885	good-DMR
chr1	101594	101595	23	0.3364	good-DMR
chr1	101610	101611	26	0.3477	good-DMR
chr1	101637	101638	28	0.4174	good-DMR
chr1	101687	101688	26	0.3789	good-DMR
chr1	101719	101720	25	0.4383	good-DMR
chr1	101764	101765	24	0.3255	good-DMR
chr1	101805	101806	33	0.3907	good-DMR
chr1	101808	101809	29	0.4635	good-DMR
chr1	101908	101909	30	0.3076	good-DMR
chr1	101984	101985	34	0.5395	good-DMR
chr1	102084	102085	27	0.2665	good-DMR
chr1	102134	102135	29	0.411	good-DMR
chr1	102188	102189	25	0.301	flank-DMR
chr1	102314	102315	38	0.0493	flank-DMR
chr1	102356	102357	32	0.2354	flank-DMR
chr1	102456	102457	28	0.0998	flank-DMR
chr1	102472	102473	27	0.1303	flank-DMR
chr1	102478	102479	26	0.0	flank-DMR
chr1	102498	102499	30	0.2625	flank-DMR
chr1	102504	102505	31	0.0952	flank-DMR
chr1	102620	102621	31	0.2027	flank-DMR
chr1	102636	102637	24	0.2728	non-DMR
chr1	102684	102685	33	0.032	non-DMR
chr1	102715	102716	30	0.184	non-DMR
chr1	102749	102750	30	0.2764	non-DMR
chr1	102799	102800	40	0.2613	non-DMR
chr1	102838	102839	39	0.2013	non-DMR
chr1	102877	102878	25	0.1665	non-DMR
chr1	102927	102928	28	0.2221	non-DMR
chr1	102952	102953	26	0.3075	non-DMR
chr1	102972	102973	34	0.3446	non-DMR
chr1	102990	102991	38	0.1307	non-DMR
chr1	103005	103006	35	0.2479	non-DMR
chr1	103055	103056	31	0.1899	non-DMR
chr1	103072	103073	25	0.4241	non-DMR
chr1	103099	103100	31	0.378	non-DMR
chr1	103103	103104	17	0.3413	non-DMR
chr1	103203	103204	31	0.4224	non-DMR
chr1	103303	103304	37	0.3068	non-DMR
chr1	103403	103404	36	0.3679	non-DMR
chr1	103473	103474	28	0.3059	non-DMR
chr1	103563	103564	32	0.3984	non-DMR
chr1	103597	103598	42	0.2374	flank-DMR
chr1	103612	103613	32	0.7455	non-DMR
chr1	103638	103639	31	0.9297	non-DMR
chr1	103653	103654	28	0.7699	non-DMR
chr1	103690	103691	27	0.6077	non-DMR
chr1	103723	103724	27	0.7911	non-DMR
chr1	103757	103758	31	0.8475	non-DMR
chr1	103804	103805	26	0.8632	non-DMR
chr1	103854	103855	29	0.8188	non-DMR
chr1	103879	103880	31	0.7542	non-DMR
chr1	103917	103918	17	0.5497	non-DMR
chr1	103952	103953	27	0.7069	non-DMR
chr1	103988	103989	22	0.5486	non-DMR
chr1	104025	104026	32	0.8682	non-DMR
chr1	104075	104076	24	0.6537	non-DMR
chr1	104151	104152	25	0.7735	non-DMR
chr1	104201	104202	26	0.8657	non-DMR
chr1	104267	104268	15	0.6632	non-DMR
chr1	104367	104368	24	0.8002	non-DMR
chr1	104467	104468	27	0.7299	non-DMR
chr1	104541	104542	20	0.8813	flank-DMR
chr1	104563	104564	32	0.8498	flank-DMR
chr1	104607	104608	30	0.6026	non-DMR
chr1	104629	104630	38	0.6584	non-DMR
chr1	104659	104660	24	0.6639	non-DMR
chr1	104688	104689	25	0.6756	non-DMR
chr1	104703	104704	25	0.3685	non-DMR
chr1	104722	104723	36	0.6977	non-DMR
chr1	104745	104746	30	0.6728	non-DMR
chr1	104760	104761	39	0.618	non-DMR
chr1	104791	104792	36	0.7358	non-DMR
chr1	104817	104818	33	0.6461	non-DMR
chr1	104832	104833	37	0.7101	non-DMR
chr1	104869	104870	32	0.6051	non-DMR
chr1	104912	104913	28	0.4532	non-DMR
chr1	104946	104947	27	0.5277	non-DMR
chr1	104972	104973	33	0.7061	non-DMR
chr1	105012	105013	28	0.613	non-DMR
chr1	105054	105055	30	0.7092	non-DMR
chr1	105089	105090	34	0.7359	non-DMR
chr1	105109	105110	24	0.4761	non-DMR
chr1	105143	105144	35	0.6317	non-DMR
chr1	105158	105159	40	0.6782	non-DMR
chr1	105228	105229	22	0.6914	non-DMR
chr1	105328	105329	30	0.6388	non-DMR
chr1	105401	105402	25	0.5994	non-DMR
chr1	105501	105502	34	0.451	non-DMR
chr1	105568	105569	23	0.8131	non-DMR
chr1	105668	105669	30	0.4304	non-DMR
chr1	105676	105677	27	0.6825	flank-DMR
chr1	105762	105763	39	0.6186	flank-DMR
chr1	105768	105769	36	0.4461	good-DMR
chr1	105810	105811	36	0.5749	good-DMR
chr1	105839	105840	24	0.471	good-DMR
chr1	105883	105884	30	0.4064	good-DMR
chr1	105924	105925	34	0.3622	good-DMR
chr1	105951	105952	33	0.6244	good-DMR
chr1	105966	105967	32	0.3247	good-DMR
chr1	105989	105990	32	0.5594	good-DMR
chr1	106039	106040	35	0.481	good-DMR
chr1	106075	106076	37	0.4621	good-DMR
chr1	106097	106098	33	0.2708	good-DMR
chr1	106131	106132	24	0.3616	good-DMR
chr1	106173	106174	30	0.5539	good-DMR
chr1	106195	106196	29	0.4125	good-DMR
chr1	106235	106236	24	0.449	good-DMR
chr1	106335	106336	21	0.3966	good-DMR
chr1	106387	106388	27	0.446	good-DMR
chr1	106487	106488	33	0.498	good-DMR
chr1	106565	106566	30	0.5923	good-DMR
chr1	106655	106656	29	0.6003	good-DMR
chr1	106679	106680	30	0.7157	flank-DMR
chr1	106735	106736	26	0.7713	flank-DMR
chr1	106787	106788	32	0.7504	flank-DMR
chr1	106915	106916	23	0.7277	flank-DMR
chr1	106975	106976	37	0.5866	flank-DMR
chr1	106977	106978	37	0.6667	flank-DMR
