assembly	position	strand	class	mc	h
1	100000	+	CG	19	31
1	100498	+	CG	7	27
1	100915	+	CG	25	34
1	101005	+	CG	18	31
1	109610	+	CG	16	32
1	109679	+	CG	16	38
1	109784	+	CG	8	25
1	110139	+	CG	15	36
1	111833	+	CG	12	28
1	111862	+	CG	14	28
1	111864	+	CG	30	45
1	111899	+	CG	13	26
1	114313	+	CG	11	33
1	114740	+	CG	10	36
1	115133	+	CG	4	32
1	115208	+	CG	6	26
1	121699	+	CG	12	28
1	121774	+	CG	9	32
1	121957	+	CG	3	30
1	122201	+	CG	18	33
1	125700	+	CG	16	27
1	125703	+	CG	14	26
1	125744	+	CG	17	27
1	125755	+	CG	19	36
1	127337	+	CG	2	24
1	127352	+	CG	9	28
1	127383	+	CG	3	36
1	127429	+	CG	7	29
1	129602	+	CG	3	34
1	130034	+	CG	8	31
1	130451	+	CG	7	37
1	131228	+	CG	23	38
1	131653	+	CG	11	21
1	131970	+	CG	14	34
1	132158	+	CG	10	34
1	134051	+	CG	6	25
1	134348	+	CG	13	29
1	134636	+	CG	9	29
1	134909	+	CG	10	31
1	136165	+	CG	13	34
1	136259	+	CG	5	30
1	136451	+	CG	7	30
1	136731	+	CG	7	34
1	136843	+	CG	4	24
1	136989	+	CG	9	32
1	138761	+	CG	9	37
1	139064	+	CG	6	28
1	139549	+	CG	8	35
1	139682	+	CG	12	35
1	141558	+	CG	0	28
1	141751	+	CG	24	24
1	142106	+	CG	38	38
1	142335	+	CG	32	32
1	142389	+	CG	32	32
1	143951	+	CG	21	31
1	143985	+	CG	20	31
1	143994	+	CG	13	24
1	160635	+	CG	21	21
1	160692	+	CG	27	27
1	160877	+	CG	25	25
1	161201	+	CG	36	36
1	161282	+	CG	39	39
1	161390	+	CG	30	30
1	163124	+	CG	11	35
1	163364	+	CG	16	36
1	163469	+	CG	11	27
1	163864	+	CG	12	22
1	169714	+	CG	14	30
1	169877	+	CG	10	21
1	170241	+	CG	24	37
1	170313	+	CG	16	27
1	170735	+	CG	19	28
1	177572	+	CG	6	26
1	177575	+	CG	14	35
1	177606	+	CG	12	32
1	177612	+	CG	6	29
1	180237	+	CG	21	31
1	180614	+	CG	14	34
1	180877	+	CG	9	32
1	181075	+	CG	14	27
1	182108	+	CG	7	35
1	182245	+	CG	7	28
1	182705	+	CG	8	37
1	183071	+	CG	17	40
1	189232	+	CG	31	31
1	189507	+	CG	0	34
1	189793	+	CG	0	33
1	189987	+	CG	23	23
1	190990	+	CG	8	37
1	191110	+	CG	7	22
1	191606	+	CG	10	31
1	191784	+	CG	14	31
1	192626	+	CG	8	27
1	192913	+	CG	20	29
1	193353	+	CG	19	36
1	194630	+	CG	5	28
1	195105	+	CG	5	42
1	195378	+	CG	8	42
1	195439	+	CG	15	40
1	196498	+	CG	8	30
1	196545	+	CG	4	24
1	196588	+	CG	4	30
1	196611	+	CG	10	38
1	198042	+	CG	16	29
1	198333	+	CG	16	33
1	198739	+	CG	19	36
1	199001	+	CG	13	26
1	200983	+	CG	15	35
1	201073	+	CG	14	30
1	201132	+	CG	5	19
1	201313	+	CG	11	30
1	203040	+	CG	16	34
1	203462	+	CG	5	25
1	203823	+	CG	11	32
1	203940	+	CG	15	33
1	210683	+	CG	16	30
1	210860	+	CG	17	32
1	210968	+	CG	17	37
1	211457	+	CG	20	34
1	211554	+	CG	20	28
1	211635	+	CG	11	21
1	212381	+	CG	12	30
1	212682	+	CG	9	27
1	212834	+	CG	8	27
1	212946	+	CG	10	27
1	214060	+	CG	15	26
1	214475	+	CG	23	29
1	214752	+	CG	21	31
1	214846	+	CG	20	33
1	215070	+	CG	17	30
1	216962	+	CG	19	22
1	216998	+	CG	24	28
1	217018	+	CG	26	30
1	217039	+	CG	28	34
1	217051	+	CG	27	28
1	217098	+	CG	34	36
1	217145	+	CG	21	28
1	217191	+	CG	22	28
1	217233	+	CG	15	21
1	217246	+	CG	26	31
1	217271	+	CG	24	28
1	217305	+	CG	21	30
1	217321	+	CG	29	36
1	217330	+	CG	26	27
1	217344	+	CG	26	31
1	217354	+	CG	25	28
1	217371	+	CG	30	38
1	217404	+	CG	28	32
1	217407	+	CG	27	29
1	217432	+	CG	27	31
1	217469	+	CG	22	27
1	217507	+	CG	12	19
1	217563	+	CG	26	31
1	217600	+	CG	19	23
1	217610	+	CG	24	30
1	217651	+	CG	29	33
1	217664	+	CG	29	34
1	217685	+	CG	27	31
1	217712	+	CG	22	28
1	217759	+	CG	21	24
1	217807	+	CG	27	31
1	217874	+	CG	26	29
1	217902	+	CG	21	24
1	217930	+	CG	18	24
1	217968	+	CG	21	25
1	217974	+	CG	38	41
1	217984	+	CG	30	32
1	218006	+	CG	19	26
1	218018	+	CG	23	33
1	218020	+	CG	22	27
1	218853	+	CG	14	24
1	219080	+	CG	17	30
1	219395	+	CG	24	33
1	219590	+	CG	17	29
1	219748	+	CG	16	29
1	222887	+	CG	12	38
1	223359	+	CG	17	34
1	223851	+	CG	10	32
1	223908	+	CG	8	26
1	223968	+	CG	13	33
1	224018	+	CG	9	27
1	225711	+	CG	10	36
1	225749	+	CG	5	28
1	225777	+	CG	9	31
1	225818	+	CG	6	29
1	228221	+	CG	5	42
1	228599	+	CG	2	29
1	228803	+	CG	3	29
1	229100	+	CG	3	29
1	229181	+	CG	2	32
1	230325	+	CG	23	35
1	230455	+	CG	22	31
1	230730	+	CG	23	32
1	230992	+	CG	20	31
1	231289	+	CG	22	29
1	231368	+	CG	17	27
1	233126	+	CG	17	31
1	233242	+	CG	9	29
1	233681	+	CG	16	31
1	233920	+	CG	14	30
1	234002	+	CG	17	34
1	245156	+	CG	1	28
1	245398	+	CG	3	34
1	245489	+	CG	1	31
1	245888	+	CG	1	23
1	246022	+	CG	0	26
1	248705	+	CG	10	25
1	248896	+	CG	10	41
1	249042	+	CG	11	33
1	249540	+	CG	9	32
1	251676	+	CG	10	23
1	251720	+	CG	10	32
1	251748	+	CG	12	30
1	251789	+	CG	14	36
1	254918	+	CG	23	28
1	255363	+	CG	29	34
1	255757	+	CG	21	30
1	255817	+	CG	31	39
1	262383	+	CG	20	23
1	262462	+	CG	17	26
1	262799	+	CG	24	30
1	263060	+	CG	11	17
1	264968	+	CG	32	34
1	265451	+	CG	31	31
1	265690	+	CG	36	36
1	265751	+	CG	33	33
1	265809	+	CG	31	32
1	271530	+	CG	18	30
1	271969	+	CG	15	27
1	272182	+	CG	12	26
1	272284	+	CG	21	32
1	272357	+	CG	14	34
