assembly	position	strand	class	mc	h
1	100005	+	CG	30	33
1	100046	+	CG	21	31
1	100096	+	CG	32	35
1	100123	+	CG	29	34
1	100150	+	CG	23	25
1	100200	+	CG	28	34
1	100244	+	CG	27	31
1	100268	+	CG	27	30
1	100307	+	CG	29	37
1	100331	+	CG	35	36
1	100355	+	CG	27	31
1	100389	+	CG	16	24
1	100404	+	CG	24	30
1	100419	+	CG	23	29
1	100442	+	CG	19	21
1	100460	+	CG	23	27
1	100495	+	CG	22	25
1	100514	+	CG	28	37
1	100529	+	CG	25	32
1	100629	+	CG	41	41
1	100716	+	CG	30	36
1	100816	+	CG	28	30
1	100866	+	CG	28	35
1	100938	+	CG	20	27
1	101038	+	CG	26	26
1	101074	+	CG	24	28
1	101182	+	CG	25	31
1	101194	+	CG	32	34
1	101250	+	CG	28	31
1	101344	+	CG	22	23
1	101380	+	CG	20	26
1	101386	+	CG	2	37
1	101425	+	CG	5	27
1	101464	+	CG	2	22
1	101481	+	CG	3	32
1	101529	+	CG	7	24
1	101544	+	CG	6	31
1	101594	+	CG	4	23
1	101610	+	CG	3	33
1	101637	+	CG	0	39
1	101687	+	CG	1	22
1	101719	+	CG	3	29
1	101764	+	CG	3	28
1	101805	+	CG	4	23
1	101808	+	CG	8	29
1	101908	+	CG	2	31
1	101984	+	CG	5	32
1	102084	+	CG	5	33
1	102134	+	CG	3	30
1	102188	+	CG	9	29
1	102314	+	CG	6	26
1	102356	+	CG	0	29
1	102456	+	CG	3	30
1	102472	+	CG	2	34
1	102478	+	CG	0	27
1	102498	+	CG	3	27
1	102504	+	CG	3	22
1	102620	+	CG	7	33
1	102636	+	CG	8	30
1	102684	+	CG	4	29
1	102715	+	CG	6	31
1	102749	+	CG	5	29
1	102799	+	CG	7	30
1	102838	+	CG	6	37
1	102877	+	CG	0	22
1	102927	+	CG	5	29
1	102952	+	CG	6	29
1	102972	+	CG	10	31
1	102990	+	CG	2	37
1	103005	+	CG	6	30
1	103055	+	CG	0	37
1	103072	+	CG	10	36
1	103099	+	CG	9	33
1	103103	+	CG	10	37
1	103203	+	CG	5	24
1	103303	+	CG	4	27
1	103403	+	CG	10	23
1	103473	+	CG	7	32
1	103563	+	CG	9	37
1	103597	+	CG	2	26
1	103612	+	CG	24	31
1	103638	+	CG	19	20
1	103653	+	CG	27	36
1	103690	+	CG	17	24
1	103723	+	CG	25	30
1	103757	+	CG	24	30
1	103804	+	CG	34	37
1	103854	+	CG	22	24
1	103879	+	CG	33	38
1	103917	+	CG	17	24
1	103952	+	CG	13	19
1	103988	+	CG	22	27
1	104025	+	CG	20	26
1	104075	+	CG	16	27
1	104151	+	CG	22	33
1	104201	+	CG	24	30
1	104267	+	CG	23	28
1	104367	+	CG	24	31
1	104467	+	CG	20	29
1	104541	+	CG	23	32
1	104563	+	CG	22	32
1	104607	+	CG	12	23
1	104629	+	CG	26	35
1	104659	+	CG	26	37
1	104688	+	CG	23	31
1	104703	+	CG	12	22
1	104722	+	CG	24	36
1	104745	+	CG	28	36
1	104760	+	CG	22	33
1	104791	+	CG	19	34
1	104817	+	CG	18	29
1	104832	+	CG	31	43
1	104869	+	CG	19	24
1	104912	+	CG	14	27
1	104946	+	CG	14	29
1	104972	+	CG	16	31
1	105012	+	CG	18	35
1	105054	+	CG	19	27
1	105089	+	CG	22	28
1	105109	+	CG	16	24
1	105143	+	CG	21	32
1	105158	+	CG	19	30
1	105228	+	CG	28	38
1	105328	+	CG	17	25
1	105401	+	CG	15	28
1	105501	+	CG	17	31
1	105568	+	CG	23	28
1	105668	+	CG	18	32
1	105676	+	CG	19	26
1	105762	+	CG	17	27
1	105768	+	CG	22	31
1	105810	+	CG	23	29
1	105839	+	CG	24	37
1	105883	+	CG	17	30
1	105924	+	CG	20	31
1	105951	+	CG	25	30
1	105966	+	CG	19	39
1	105989	+	CG	21	27
1	106039	+	CG	25	37
1	106075	+	CG	22	32
1	106097	+	CG	18	29
1	106131	+	CG	15	27
1	106173	+	CG	28	38
1	106195	+	CG	29	36
1	106235	+	CG	22	34
1	106335	+	CG	16	24
1	106387	+	CG	15	20
1	106487	+	CG	18	25
1	106565	+	CG	26	35
1	106655	+	CG	19	24
1	106679	+	CG	20	32
1	106735	+	CG	21	29
