chr	start	end	coverage	methylation_level	type
chr1	148399	148400	32	1.0	notable-DMR
chr1	148435	148436	23	1.0	notable-DMR
chr1	148478	148479	25	1.0	notable-DMR
chr1	148520	148521	27	0.269	notable-DMR
chr1	148552	148553	37	0.5503	notable-DMR
chr1	148567	148568	31	0.321	notable-DMR
chr1	148617	148618	34	0.5769	notable-DMR
chr1	148666	148667	30	0.9807	notable-DMR
chr1	148700	148701	29	0.4153	notable-DMR
chr1	148727	148728	30	0.4576	notable-DMR
chr1	148749	148750	16	0.7187	notable-DMR
chr1	148793	148794	34	0.312	notable-DMR
chr1	148808	148809	33	0.9599	notable-DMR
chr1	148844	148845	36	0.662	notable-DMR
chr1	148855	148856	28	0.7203	notable-DMR
chr1	148905	148906	29	0.303	notable-DMR
chr1	149005	149006	28	0.9376	notable-DMR
chr1	149105	149106	29	0.5125	notable-DMR
chr1	149205	149206	30	0.3554	notable-DMR
chr1	149305	149306	30	0.8158	notable-DMR
chr1	149361	149362	30	0.5679	flank-DMR
chr1	149391	149392	34	0.5488	flank-DMR
