chr	start	end	coverage	methylation_level	type
chr1	172020	172021	33	0.8412	sub-DMR
chr1	172070	172071	28	0.6603	sub-DMR
chr1	172110	172111	32	0.54	sub-DMR
chr1	172129	172130	23	0.7303	sub-DMR
chr1	172144	172145	32	0.6089	sub-DMR
chr1	172194	172195	38	0.7402	sub-DMR
chr1	172221	172222	25	0.8485	sub-DMR
chr1	172254	172255	30	0.4364	sub-DMR
chr1	172286	172287	21	0.5343	sub-DMR
chr1	172326	172327	24	0.4463	sub-DMR
chr1	172341	172342	33	0.2686	sub-DMR
chr1	172376	172377	28	0.5463	sub-DMR
chr1	172397	172398	30	0.525	sub-DMR
chr1	172423	172424	31	0.6013	sub-DMR
chr1	172446	172447	34	0.5538	sub-DMR
chr1	172466	172467	24	0.6938	sub-DMR
chr1	172481	172482	30	0.6897	sub-DMR
chr1	172503	172504	20	0.7045	sub-DMR
chr1	172540	172541	30	0.7395	sub-DMR
chr1	172573	172574	30	0.7242	sub-DMR
chr1	172673	172674	29	0.8169	sub-DMR
chr1	172723	172724	33	0.7886	sub-DMR
chr1	172823	172824	36	0.6831	sub-DMR
chr1	172923	172924	24	0.9112	sub-DMR
chr1	172975	172976	16	0.7329	sub-DMR
chr1	173025	173026	33	0.6908	sub-DMR
chr1	173125	173126	25	0.7311	sub-DMR
chr1	173195	173196	29	0.6009	flank-DMR
chr1	173267	173268	33	0.8495	flank-DMR
chr1	173289	173290	27	0.7549	flank-DMR
chr1	173299	173300	33	0.6075	flank-DMR
chr1	173357	173358	31	0.8014	flank-DMR
chr1	173491	173492	41	0.6109	flank-DMR
chr1	173529	173530	25	0.628	flank-DMR
chr1	173569	173570	24	0.6157	flank-DMR
chr1	173599	173600	33	0.8376	flank-DMR
